obs,time,Delta,Theta,Alpha1,Alpha2,Beta1,Beta2,Gamma1,Gamma2,Attention,Meditation,Derived,totPwr,class
1,1.09,13569,26979,2168,15777,18041,9852,13004,19922,40,78,NA,119312,X*
2,2.09,35623,49067,7352,21815,14718,14832,9144,5958,30,69,NA,158509,X*
3,3.09,116952,41639,3554,12845,4875,42342,18523,4895,44,53,NA,245625,X*
4,5.09,69430,15263,673,1063,2207,4894,4199,796,24,50,NA,98525,X*
5,6.09,10353,4825,3026,3405,16783,18848,22836,6938,54,40,NA,87014,X*
6,7.09,9256,15664,7883,3889,9463,31959,11636,7736,60,40,NA,97486,X*
7,9.09,6476,20171,597,5453,12337,16631,8242,5113,69,47,NA,75020,X*
8,10.09,9731,28062,12817,10843,24290,14273,12927,12512,54,56,NA,125455,X*
9,11.09,104823,22927,11897,9959,9949,19880,15956,9696,44,64,NA,205087,X*
10,13.08,96151,55542,23076,14013,10336,24189,27185,9738,35,81,NA,260230,X*
11,14.08,51904,24694,20837,7550,8208,39845,13145,12954,50,77,NA,179137,X*
12,15.09,40844,24828,11880,10978,15112,16193,15127,1652,47,77,NA,136614,X*
13,17.08,272212,16900,8275,6020,12643,19016,15000,18706,54,70,NA,368772,X*
14,18.08,124593,63456,1293,6574,8874,7510,8911,1191,30,56,NA,222402,X*
15,19.08,30137,5034,2260,1035,5330,7682,3809,3002,41,47,NA,58289,X*
16,21.08,30663,14970,2029,14483,9319,44248,12973,6039,50,43,NA,134724,X*
17,22.08,6010,4382,8377,5818,8299,12502,5298,7934,70,48,NA,58620,X*
18,23.08,147335,14606,5054,4611,10510,4591,2778,828,54,54,NA,190313,X*
19,24.08.00,1083864,41168,124979,13951,26437,11168,12056,9726,26,74,NA,1323349,X*
20,25.08.00,48063,28907,6393,5471,8169,18789,10928,7915,17,84,NA,134635,X*
21,26.08.00,69871,55850,6961,21447,6836,9887,8349,4678,1,78,NA,183879,X*
22,27.08.00,38274,19998,6329,6820,6484,17132,9513,20785,11,75,NA,125335,X*
23,28.08.00,4892,6715,9581,2652,17889,27718,6933,5527,41,51,NA,81907,X*
24,29.08.00,89890,28600,1834,4446,619,8847,5571,1282,35,50,NA,141089,X*
25,30.08.00,130300,4678,901,4706,4621,12113,11541,11130,56,44,NA,179990,X*
26,32.08.00,7455,3473,6171,7727,4948,18767,10430,10184,64,50,NA,69155,X*
27,33.08.00,606249,122407,11052,10056,7497,26864,92789,13093,63,47,NA,890007,X*
28,34.08.00,311774,50168,7420,3770,3631,8984,5307,1791,44,41,NA,392845,X*
29,36.07.00,494284,67265,6794,24371,11989,24465,20415,9441,29,37,NA,659024,X*
30,37.08.00,3652,6089,3245,6286,7912,20865,25586,4537,16,29,NA,78172,X*
31,38.08.00,4954,9834,14493,2037,2882,24286,13539,13966,37,40,NA,85991,X*
32,40.07.00,45750,76713,9765,2572,6698,34600,10898,3490,43,27,NA,190486,X*
33,41.07.00,10809,11369,16338,5612,5254,17412,19546,5829,60,47,NA,92169,X*
34,42.08.00,5979,7555,7049,8054,2826,38137,4438,4445,66,43,NA,78483,X*
35,44.07.00,16271,7152,10412,9981,6540,41101,21194,12144,78,56,NA,124795,X*
36,45.07.00,4777,9770,1494,10176,13410,31039,13375,3751,94,50,NA,87792,X*
37,46.07.00,20092,22646,3103,2743,1961,43562,18196,5621,93,35,NA,117924,X*
38,48.07.00,2570,18346,3368,13753,5770,26440,17276,5788,87,35,NA,93311,X*
39,49.07.00,11351,28801,6893,9853,14152,29475,6191,6261,57,40,NA,112977,X*
40,50.07.00,18225,7712,3755,6787,14006,34433,15945,6681,60,48,NA,107544,X*
41,51.07.00,8129,11028,42657,10916,8393,35239,35000,5321,57,60,NA,156683,X*
42,52.07.00,16873,16548,8509,18787,5452,20479,10213,13432,66,70,NA,110293,X*
43,53.07.00,151819,23763,4035,2015,2516,10142,5547,3684,60,66,NA,203521,X*
44,54.07.00,14092,24026,5032,13116,20413,13207,7879,8632,43,70,NA,106397,X*
45,55.07.00,172107,64313,20602,12949,13440,14628,12239,7108,30,61,NA,317386,X*
46,56.07.00,398281,179825,80333,14956,31475,32865,30382,9139,20,54,NA,777256,X*
47,57.07.00,274373,15110,18098,6430,9120,25006,16463,5854,26,66,NA,370454,X*
48,59.06.00,6306,27597,9849,7073,9030,19683,9050,3708,29,66,NA,92296,X*
49,60.07.00,12831,13572,3580,2958,3651,35501,8947,5972,74,53,NA,87012,X
50,61.07.00,381049,97207,5994,12818,9603,17864,19186,5425,60,41,NA,549146,X
51,63.07.00,56825,27719,8810,12206,11546,14287,11416,13018,56,43,NA,155827,X
52,64.06.00,162839,100867,2395,2081,7923,25056,12593,16260,37,29,NA,330014,X
53,65.07.00,9002,6699,7633,3634,9132,24080,6911,4749,56,38,NA,71840,X
54,67.06.00,10803,5235,12731,4964,1823,29730,9697,16666,69,41,NA,91649,X
55,68.06.00,18142,15592,4800,1746,1514,30614,18303,7506,84,64,NA,98217,X
56,69.06.00,3611,9455,7535,6791,12663,14316,13780,12614,78,67,NA,80765,X
57,71.06.00,48134,58379,12044,1186,5473,51891,11037,6819,70,51,NA,194963,X
58,72.06.00,8990,17055,5180,12712,15743,26912,16085,10586,63,50,NA,113263,X
59,73.06.00,32810,8700,14530,2823,10797,22204,14252,19220,66,50,NA,125336,X
60,74.06.00,37943,90917,4364,7103,8338,11897,23220,6868,50,50,NA,190650,X
61,75.06.00,19166,49384,5268,10598,15399,22380,10791,8249,43,48,NA,141235,X
62,76.06.00,18793,15940,16298,6805,9892,18045,9524,8168,38,53,NA,103465,X
63,77.06.00,5956,10068,4708,4484,15137,33845,6113,9068,44,43,NA,89379,X
64,78.06.00,124757,28446,699,5464,3042,5012,5989,1747,47,48,NA,175156,X
65,79.06.00,692446,107087,40960,27346,17993,47447,35098,7310,44,56,NA,975687,X
66,80.06.00,7502,10571,1301,7229,6373,15345,10279,13167,50,50,NA,71767,X
67,82.06.00,476792,133520,8996,7676,16273,15462,16825,16929,23,47,NA,692473,X
68,83.06.00,19366,14186,12783,3876,16480,35498,34192,1417,38,48,NA,137798,X
69,84.06.00,257658,21255,17722,36618,8893,45430,15469,5790,37,57,NA,408835,X
70,86.05.00,94420,19549,5023,2281,2554,10116,3505,2596,48,66,NA,140044,X
71,87.06.00,56766,23472,17943,12395,30455,32322,35476,17013,51,54,NA,225842,X
72,87.06.00,128989,47750,11679,12109,9121,20665,21172,7678,44,47,NA,259163,X
