obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1,1.08,1134707,17634,4634,4134,3618,24497,2234,488,60,24,NA,1191946,4*
2,2.08,112512,22596,19953,48395,39938,35038,6369,2095,61,61,NA,286896,4*
3,3.08,105204,158115,15210,25673,9174,49173,4682,5092,53,63,NA,372323,4*
4,4.08,1726445,46907,10558,35974,6544,43970,22884,2657,51,70,NA,1895939,4*
5,5.08,636779,150127,99175,78374,18537,30091,41014,8182,38,91,NA,1062279,4*
6,6.08,34379,61141,8175,6585,10313,11680,3695,774,30,70,NA,136742,4*
7,9.08,1351559,179071,100190,56141,23155,36453,32522,9698,26,90,NA,1788789,4*
8,12.08,1148687,263932,34989,57053,140256,131692,57250,15315,30,66,NA,1849174,4*
9,13.08,725588,212446,13168,30191,15531,10529,15974,4337,26,64,NA,1027764,4*
10,14.08,1507360,150977,23911,13222,27363,118907,19221,4086,34,44,NA,1865047,4*
11,16.07,2218286,434627,126342,86624,326641,256881,89038,35750,34,48,NA,3574189,4*
12,17.08,397317,142818,3536,7459,18943,47304,2277,1208,53,29,NA,620862,4*
13,18.08,81609,74345,17787,8174,35330,33918,11650,6209,50,35,NA,269022,4*
14,20.07,144012,40029,17030,7734,3293,15267,6386,493,44,44,NA,234244,4*
15,21.08,299999,13940,3933,4184,9054,8264,3912,931,43,60,NA,344217,4*
16,22.08,502448,86622,141984,20059,13934,42532,17346,2788,38,83,NA,827713,4*
17,23.07,215728,70333,20858,11828,70388,11664,6526,2007,35,75,NA,409332,4*
18,24.07.00,166565,106817,6368,11966,3813,5243,2159,1880,23,63,NA,304811,4*
19,25.07.00,355508,66576,12698,22589,24163,26013,5424,1574,20,66,NA,514545,4*
20,26.07.00,147136,131198,17391,12837,13820,68223,14873,3795,24,38,NA,409273,4*
21,27.07.00,72158,18428,5128,5627,3061,16290,3783,329,35,41,NA,124804,4*
22,28.07.00,768171,425637,35080,52818,98053,90088,11483,2335,43,40,NA,1483665,4*
23,29.07.00,40838,55375,14457,10104,10226,7715,3253,1420,38,41,NA,143388,4*
24,31.07.00,48263,162175,17621,42556,20030,40413,8921,4443,34,50,NA,344422,4*
