obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 2.3, 43961, 39598, 21346, 16399, 17364, 9536, 1158, 2763, 44, 93, NA, 152125,  X*
2, 3.3, 46257, 4767, 3015, 1734, 4760, 2990, 3300, 1979, 56, 93, NA, 68802,  X*
3, 4.4, 4513, 8329, 2476, 5999, 3260, 2440, 3818, 1003, 51, 88, NA, 31838,  X*
4, 6.3, 8496, 16411, 9756, 2157, 7303, 7666, 3120, 3496, 57, 84, NA, 58405,  X*
5, 7.3, 532979, 71233, 3465, 15010, 28496, 4409, 4513, 4732, 43, 87, NA, 664837,  X*
6, 8.3, 79801, 44932, 17495, 5172, 1696, 5214, 3211, 1681, 38, 83, NA, 159202,  X*
7, 10.3, 4553, 23370, 17744, 25271, 13426, 3814, 2717, 1308, 26, 93, NA, 92203,  X*
8, 11.3, 26353, 28462, 12421, 9300, 9762, 3857, 2006, 1462, 29, 90, NA, 93623,  X*
9, 12.3, 715848, 113209, 14639, 10334, 14649, 5745, 6752, 2410, 24, 81, NA, 883586,  X*
10, 14.3, 11780, 20003, 5400, 8736, 8535, 11850, 3125, 4052, 38, 70, NA, 73481,  X*
11, 15.3, 56616, 21084, 21170, 4248, 3484, 5067, 1891, 1411, 54, 75, NA, 114971,  X*
12, 16.3, 32965, 24547, 1098, 10931, 6834, 4930, 3857, 2274, 63, 80, NA, 87436,  X*
13, 18.3, 131256, 33085, 12979, 15883, 8631, 8568, 4064, 4375, 57, 83, NA, 218841,  X*
14, 19.3, 46885, 27238, 6306, 14804, 7378, 5989, 4267, 1506, 47, 87, NA, 114373,  X*
15, 20.3, 87529, 14282, 3391, 1050, 2493, 1405, 777, 1164, 41, 84, NA, 112091,  X*
16, 22.3, 17614, 10578, 12046, 7525, 11152, 6548, 1402, 1074, 43, 87, NA, 67939,  X*
17, 23.3, 126405, 63601, 9770, 9260, 4591, 3703, 4366, 1825, 35, 80, NA, 223521,  X*
18, 24.3, 122370, 56529, 13351, 4795, 16199, 6220, 3118, 1217, 35, 80, NA, 223799,  X*
19, 26.2, 86656, 78710, 3945, 7125, 3854, 6510, 3579, 1441, 27, 63, NA, 191820,  X*
20, 27.2, 235228, 61465, 2693, 7433, 10574, 9656, 6933, 1395, 30, 51, NA, 335377,  X*
21, 28.2, 52262, 65387, 2784, 4682, 25526, 6006, 5427, 1828, 30, 41, NA, 163902,  X*
22, 30.2, 233846, 89032, 33256, 12280, 21738, 7485, 2380, 1450, 27, 50, NA, 401467,  X*
23, 31.2, 31804, 54644, 8461, 7922, 16463, 4564, 2882, 1582, 30, 50, NA, 128322,  X*
24, 32.2, 579255, 30393, 23417, 12273, 15370, 5682, 5693, 6670, 30, 67, NA, 678753,  X*
25, 33.2, 79691, 6287, 6239, 2812, 3735, 1853, 913, 411, 38, 75, NA, 101941,  X*
26, 34.2, 490018, 50319, 10800, 7487, 14996, 4141, 4496, 3007, 34, 75, NA, 585264,  X*
27, 35.2, 649135, 11943, 11168, 21835, 14119, 10129, 5276, 1709, 41, 90, NA, 725314,  X*
28, 36.2, 9548, 10698, 9872, 3625, 6677, 4645, 1124, 1241, 48, 88, NA, 47430,  X*
29, 37.2, 14842, 59454, 33896, 6794, 9497, 3002, 3032, 1620, 38, 84, NA, 132137,  X*
30, 38.2, 52617, 66533, 18574, 10355, 12940, 8304, 2961, 2280, 41, 88, NA, 174564,  X*
31, 39.2, 332395, 17152, 3293, 11440, 2448, 7274, 1322, 1605, 41, 83, NA, 376929,  X*
32, 40.2, 347494, 25718, 1026, 7092, 5237, 6113, 2939, 2652, 40, 74, NA, 398271,  X*
33, 41.2, 52482, 82379, 11897, 7197, 18735, 10500, 2447, 1645, 48, 63, NA, 187282,  X*
34, 42.2, 44823, 16833, 1880, 4805, 21023, 7736, 963, 2110, 57, 54, NA, 100173,  X*
35, 43.2, 52295, 144954, 34423, 13182, 6174, 9292, 3161, 4739, 48, 50, NA, 268220,  X*
36, 45.1, 65689, 75155, 35711, 8422, 13293, 9544, 4851, 4538, 43, 56, NA, 217203,  X*
37, 46.2, 152807, 94982, 4518, 8248, 6952, 5541, 4318, 1572, 21, 60, NA, 278938,  X*
38, 47.2, 195953, 44008, 46929, 14191, 51017, 9877, 8277, 1536, 24, 66, NA, 371788,  X*
39, 49.1, 50369, 55029, 3691, 9142, 9446, 15956, 3301, 3151, 34, 57, NA, 150085,  X*
40, 50.1, 35923, 31419, 19988, 17895, 13569, 4305, 1413, 1473, 35, 69, NA, 125985,  X*
41, 51.2, 335477, 158272, 10178, 18530, 26491, 10835, 4326, 2392, 30, 57, NA, 566501,  X*
42, 53.1, 37441, 104071, 69304, 11212, 9767, 4142, 12207, 1826, 16, 69, NA, 249970,  X*
43, 54.1, 137343, 11222, 5157, 3737, 4859, 4325, 3247, 1197, 35, 75, NA, 171087,  X*
44, 55.2, 877589, 342144, 77496, 17720, 230729, 64604, 55021, 16264, 41, 75, NA, 1681567,  X*
45, 57.1, 624818, 287905, 48511, 67776, 32228, 76762, 17634, 6349, 56, 67, NA, 1161983,  X*
46, 58.1, 786533, 344217, 60556, 7965, 23649, 7973, 11776, 6017, 34, 56, NA, 1248686,  X*
47, 59.1, 503369, 57352, 13283, 6067, 6852, 4615, 1027, 1396, 26, 61, NA, 593961,  X*
48, 61.1, 276177, 274638, 36811, 7847, 64258, 17837, 4343, 7668, 17, 54, NA, 689579,  X
49, 62.1, 334795, 131896, 14844, 6981, 6828, 8237, 4095, 2943, 24, 51, NA, 510619,  X
50, 63.1, 1873836, 161192, 13493, 13995, 17099, 6455, 1472, 1859, 21, 44, NA, 2089401,  X
51, 65.1, 31626, 54879, 30782, 8796, 9358, 13280, 2421, 5913, 26, 57, NA, 157055,  X
52, 66.1, 142779, 105817, 9525, 10365, 4298, 6873, 3172, 4723, 30, 56, NA, 287552,  X
53, 67.1, 94412, 14545, 2464, 1822, 3259, 2828, 659, 605, 41, 60, NA, 120594,  X
54, 68.1, 1143761, 30523, 16467, 20351, 17119, 9755, 8339, 3553, 41, 61, NA, 1249868,  X
55, 69.1, 135285, 46472, 11241, 921, 3275, 1879, 2122, 673, 30, 56, NA, 201868,  X
56, 70.1, 65982, 76596, 7018, 11299, 18249, 9310, 4105, 2934, 38, 57, NA, 195493,  X
57, 71.1, 99733, 55797, 6262, 11167, 10059, 3946, 4794, 1662, 30, 60, NA, 193420,  X
58, 72.0, 107485, 25385, 34118, 8315, 4846, 11478, 3985, 3096, 34, 64, NA, 198708,  X
59, 73.0, 69358, 20337, 9324, 5817, 7332, 5411, 4786, 2921, 44, 70, NA, 125286,  X
60, 74.1, 272627, 70137, 8704, 8516, 7178, 15789, 2916, 1010, 50, 70, NA, 386877,  X
61, 75.1, 155591, 51851, 8381, 6885, 21054, 7361, 6254, 6270, 53, 69, NA, 263647,  X
62, 76.0, 29410, 30673, 4759, 6412, 12216, 4859, 3745, 2174, 51, 54, NA, 94248,  X
63, 77.0, 28147, 4290, 5240, 16960, 12836, 3310, 2646, 1792, 50, 64, NA, 75221,  X
64, 78.0, 8742, 6091, 17465, 1840, 11347, 5454, 3904, 1974, 50, 78, NA, 56817,  X
65, 80.0, 648344, 71946, 16491, 6561, 18048, 6740, 6465, 3606, 48, 81, NA, 778201,  X
66, 81.0, 15871, 19515, 12933, 18722, 9652, 3669, 2278, 2016, 51, 91, NA, 84656,  X
67, 82.0, 232114, 162195, 8907, 4579, 5461, 4917, 3150, 1871, 37, 67, NA, 423194,  X
68, 84.0, 259313, 65564, 3545, 2624, 1274, 3194, 340, 679, 34, 57, NA, 336533,  X
69, 85.0, 1052718, 116769, 41291, 51676, 14996, 30761, 16553, 3126, 40, 41, NA, 1327890,  X
70, 86.0, 156631, 34632, 23390, 29019, 29364, 7661, 5454, 4509, 48, 61, NA, 290660,  X
71, 88.0, 338629, 42176, 7741, 5458, 17988, 6706, 2002, 3144, 56, 67, NA, 423844,  X
72, 89.0, 709217, 21486, 3301, 5748, 4601, 12167, 2482, 3035, 50, 60, NA, 762037,  X
73, 90.0, 54764, 11297, 2958, 5142, 3080, 1621, 1348, 687, 50, 56, NA, 80897,  X
74, 92.0, 20210, 36873, 1584, 7881, 7586, 3173, 3981, 2542, 44, 57, NA, 83830,  X
75, 93.0, 10742, 14559, 28203, 5490, 17100, 10922, 2037, 3353, 40, 69, NA, 92406,  X
76, 94.0, 152995, 245491, 21378, 6875, 5202, 8147, 4264, 2865, 30, 54, NA, 447217,  X
77, 96.0, 4382, 24936, 3686, 12969, 8895, 4066, 2144, 2839, 35, 63, NA, 63917,  X
78, 97.0, 299325, 33788, 2688, 8243, 23904, 7512, 3467, 1298, 44, 60, NA, 380225,  X
79, 98.0, 12522, 13101, 6840, 6674, 7670, 8523, 2046, 2110, 63, 75, NA, 59486,  X
80, 98.9, 38923, 43217, 22716, 8904, 14754, 4522, 2868, 2128, 60, 75, NA, 138032,  X
81, 99.9, 143072, 58861, 6278, 14918, 34635, 8354, 3633, 3178, 53, 63, NA, 272929,  X
82, 101.0, 67152, 63632, 6030, 7270, 5257, 6127, 6139, 5489, 47, 63, NA, 167096,  X
83, 102.0, 18836, 27572, 1968, 11442, 3479, 8757, 5879, 5306, 41, 60, NA, 83239,  X
84, 102.9, 385423, 43662, 18994, 21091, 8278, 3806, 8687, 4214, 40, 63, NA, 494155,  X
85, 103.9, 66519, 47620, 17528, 9794, 14441, 3572, 4436, 1761, 34, 69, NA, 165671,  X
86, 104.9, 186625, 123728, 10824, 6660, 4790, 10189, 11797, 5002, 34, 66, NA, 359615,  X
87, 106.9, 68875, 22149, 3989, 7124, 19216, 5586, 5881, 2014, 29, 63, NA, 134834,  X
88, 107.9, 41179, 28526, 11835, 4755, 1927, 3171, 1004, 447, 47, 57, NA, 92844,  X
89, 108.9, 78204, 5260, 5425, 4039, 3854, 1261, 1068, 696, 48, 78, NA, 99807,  X
90, 110.9, 23398, 18098, 21086, 11169, 8259, 7306, 3261, 2821, 48, 91, NA, 95398,  X
91, 111.9, 13147, 9874, 30859, 7974, 13746, 11419, 5383, 1980, 50, 100, NA, 94382,  X
92, 112.9, 24847, 12525, 4694, 20167, 7280, 5607, 4039, 1241, 54, 100, NA, 80400,  X
93, 112.9, 1070876, 216072, 116658, 365732, 330759, 217791, 192991, 192760, 60, 100, NA, 2703639,  X
