Alpha,Beta,Gamma,,,,,,
0.097843378,0.092199362,0.016014026,,,,,,
0.195224538,0.364636508,0.090495871,,,rata-rata,0.162354682,0.015451725,0.008239865
0.096158731,0.011557027,0.001757226,,,stdev,0.132274265,0.049981422,0.016384809
0.259241664,0.034487871,0.008856977,,,abs,0.259241664,0.034487871,0.008856977
0.115191889,0.005461966,0.005937312,,,,,,
0.084788587,-0.008581813,0.003905574,,,,,,
0.146155801,0.024153275,0.009711012,,,,,,
0.128432355,-0.01671839,0.003076701,,,,,,
0.077031683,-0.001842294,0.001246297,,,,,,
0.215117063,0.004116643,0.002691923,,,,,,
0.09275176,0.01975653,0.008393328,,,,,,
0.24627384,-0.012475461,0.001281961,,,,,,
0.13740317,0.064208373,0.00602385,,,,,,
0.466489427,-0.031235862,0.001556039,,,,,,
0.125920468,0.013775062,0.005802047,,,,,,
0.288424243,0.010083148,0.004883569,,,,,,
0.143433442,0.027382435,0.023193042,,,,,,
0.134251631,0.011265133,0.002305478,,,,,,
0.130348133,0.025802628,0.01458866,,,,,,
0.116925926,-0.017115497,0.011019297,,,,,,
0.206426312,0.001348742,0.002569296,,,,,,
0.052238902,1.82896E-05,0.000375697,,,,,,
0.195108561,0.001645191,0.000655637,,,,,,
0.173998886,0.047388351,0.017900555,,,,,,
0.172834321,0.03944926,0.091088618,,,,,,
0.016435628,0.006203077,0.001709933,,,,,,
0.246825896,-0.012594274,0.001007883,,,,,,
0.032062475,-0.003305841,0.001378206,,,,,,
0.221984035,0.002450688,0.004065732,,,,,,
0.201585791,0.012441369,0.024177475,,,,,,
0.209573005,0.009562473,0.012098997,,,,,,
0.019067604,0.007407845,0.006662387,,,,,,
0.071424566,0.003050315,0.007309719,,,,,,
0.40005384,-0.006358024,0.000614599,,,,,,
0.436260913,-0.017418854,0.002756412,,,,,,
0.335937862,-0.012568643,5.66721E-05,,,,,,
0.301704038,0.012595005,0.004307565,,,,,,
0.031456777,0.010220046,0.006576891,,,,,,
0.057884509,0.018968275,0.009306921,,,,,,
0.521462034,0.002762854,0.002997268,,,,,,
0.541511433,0.026280247,0.002557571,,,,,,
0.411804112,0.01985329,0.002278119,,,,,,
0.397120477,0.004959761,0.000711332,,,,,,
0.038532255,-0.010667289,0.000393773,,,,,,
0.08600251,0.043172514,0.004551353,,,,,,
0.06358861,0.006870051,0.002541449,,,,,,
0.121972402,0.000709513,0.002427616,,,,,,
0.101330243,0.001897716,0.001672314,,,,,,
0.116652526,0.024148345,0.010013856,,,,,,
0.009541009,-0.004179667,0.004512269,,,,,,
0.049509749,0.00837652,0.014703469,,,,,,
0.027599494,0.00529346,0.005234349,,,,,,
0.06744874,-0.006651053,0,,,,,,
0.057615306,-0.00476537,0.003788234,,,,,,
0.095880823,0.011266702,0.002150773,,,,,,
0.005432762,0.007422222,0.000450966,,,,,,
0.117621883,0.010228756,0.001526315,,,,,,
0.017007388,0.011318337,0.00756867,,,,,,
0.111897671,0.016635157,0.006631884,,,,,,
0.101477867,0.010751498,0.000320904,,,,,,
