obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 1.2, 9380, 12487, 21589, 3914, 4182, 5104, 1890, 1306, 57, 90, NA, 59852,  X*
2, 2.2, 9791, 12008, 978, 6072, 6777, 4951, 2560, 882, 67, 81, NA, 44019,  X*
3, 3.2, 13429, 16566, 1787, 7473, 8314, 2107, 2495, 1165, 69, 67, NA, 53336,  X*
4, 4.2, 14230, 27156, 15074, 16909, 11274, 13698, 7414, 7956, 78, 69, NA, 113711,  X*
5, 5.2, 5832, 11668, 1749, 8031, 5401, 3644, 1967, 1519, 81, 57, NA, 39811,  X*
6, 6.2, 667522, 106480, 1160, 9144, 2146, 3355, 4856, 3179, 61, 43, NA, 797842,  X*
7, 7.2, 119688, 77337, 25778, 11742, 8330, 6011, 1922, 3220, 56, 44, NA, 254028,  X*
8, 8.2, 78559, 20659, 5026, 3625, 1132, 1783, 1434, 855, 44, 38, NA, 113073,  X*
9, 10.2, 10548, 11765, 2214, 1250, 1676, 1777, 1051, 888, 41, 27, NA, 31169,  X*
10, 11.1, 24877, 22665, 22400, 6226, 2162, 5240, 1954, 1958, 56, 70, NA, 87482,  X*
11, 12.1, 80628, 29367, 21850, 9482, 1701, 2308, 2314, 1327, 53, 83, NA, 148977,  X*
12, 14.1, 76476, 107288, 8684, 10238, 3171, 8140, 3780, 1851, 48, 78, NA, 219628,  X*
13, 15.1, 143459, 127276, 26906, 8258, 4941, 9381, 6055, 1119, 48, 50, NA, 327395,  X*
14, 16.2, 90075, 31706, 8823, 4613, 1604, 8883, 5793, 621, 61, 37, NA, 152118,  X*
15, 18.1, 110157, 13694, 1609, 1665, 1008, 844, 641, 296, 60, 38, NA, 129914,  X*
16, 19.1, 31432, 24195, 1032, 1546, 2259, 535, 888, 367, 43, 14, NA, 62254,  X*
17, 20.1, 17707, 86971, 18122, 17342, 8910, 6964, 3092, 1040, 30, 16, NA, 160148,  X*
18, 22.1, 115445, 134438, 60237, 25504, 5576, 6548, 2104, 2551, 26, 30, NA, 352403,  X*
19, 23.1, 7295, 6279, 5503, 5460, 3074, 2034, 2786, 1956, 50, 78, NA, 34387,  X*
20, 24.1, 91327, 88320, 17615, 16729, 9715, 2438, 1629, 1554, 41, 78, NA, 229327,  X*
21, 26.1, 30495, 16639, 9125, 15064, 10107, 4062, 2800, 1076, 53, 81, NA, 89368,  X*
22, 27.1, 10865, 56969, 5275, 24435, 4156, 2659, 1233, 3325, 37, 70, NA, 108917,  X*
23, 28.1, 111262, 45660, 5488, 2019, 924, 783, 595, 822, 34, 61, NA, 167553,  X*
24, 29.1, 85875, 41940, 4807, 18184, 9359, 5290, 2986, 866, 30, 54, NA, 169307,  X*
25, 30.1, 110361, 39748, 3247, 8095, 1411, 4652, 2855, 2467, 34, 40, NA, 172836,  X*
26, 31.1, 134893, 23997, 1539, 1339, 1186, 752, 747, 186, 30, 20, NA, 164639,  X*
27, 32.1, 86775, 15219, 2873, 2402, 681, 760, 809, 301, 38, 27, NA, 109820,  X*
28, 33.0, 125820, 60964, 50101, 6558, 2253, 9942, 2327, 1724, 38, 37, NA, 259689,  X*
29, 34.1, 42606, 33466, 24578, 11463, 5983, 2785, 2994, 1879, 29, 53, NA, 125754,  X*
30, 35.1, 42548, 16965, 2414, 2546, 1367, 1529, 1451, 455, 38, 63, NA, 69275,  X*
31, 37.0, 22875, 29479, 1649, 2488, 2989, 3965, 3343, 2009, 50, 51, NA, 68797,  X*
32, 38.0, 49509, 32205, 22364, 10232, 10083, 3107, 2491, 1046, 60, 43, NA, 131037,  X*
33, 39.1, 80001, 36488, 5600, 510, 598, 1296, 966, 275, 53, 37, NA, 125734,  X*
34, 41.0, 78381, 17869, 6654, 4743, 5125, 933, 693, 306, 41, 54, NA, 114704,  X*
35, 42.0, 45455, 15966, 3401, 2779, 3438, 3260, 3011, 865, 43, 41, NA, 78175,  X*
36, 43.0, 36949, 38881, 8839, 17426, 3767, 5808, 2049, 441, 51, 57, NA, 114160,  X*
37, 45.0, 114771, 23489, 1322, 1413, 939, 1610, 753, 315, 57, 38, NA, 144612,  X*
38, 46.0, 61380, 26422, 18266, 15022, 7767, 5350, 1724, 662, 60, 56, NA, 136593,  X*
