Alpha,Beta,Gamma,,,,,,
0.250112487,0.044786206,0.014737929,,,,,,
0.420107866,0.196539078,0.0700517,,,rata-rata,0.174285324,0.022392123,0.016291252
0.28967448,0.033955629,0.019635058,,,stdev,0.183076744,0.04931082,0.019197428
0.220808058,0.0296054,0.040525053,,,abs,0.220808058,0.0296054,0.040525053
0.216970819,0.010771651,0.047940846,,,,,,
0.271931694,-0.021503179,0.011076032,,,,,,
0.3140865,0.057797494,0.026081066,,,,,,
0.250780714,-0.032908915,0.010952869,,,,,,
0.125066191,0.017586826,0.035211451,,,,,,
0.134411312,0.210743975,0.066096892,,,,,,
0.24801236,0.038953005,0.091088618,,,,,,
0.123288167,-0.010573352,0.007084311,,,,,,
0.140359466,0.042590998,0.028463846,,,,,,
0.078026129,0.048939118,0.036270057,,,,,,
0.077706028,-0.003703764,0.018106745,,,,,,
0.095770413,0.101511549,0.072728669,,,,,,
0.05710478,0.021362085,0.003358987,,,,,,
0.148306244,0.011406163,0.012994189,,,,,,
0.049012264,0.013073008,0.014120136,,,,,,
0.385540253,0.053957744,0.029552083,,,,,,
0.105423538,0.004713169,0.000942779,,,,,,
0.01053857,-0.0312482,0,,,,,,
0.078427128,0.087509021,0.028633546,,,,,,
0.071497637,0.01235037,0.004234425,,,,,,
0.125414158,-0.021398901,0.003978528,,,,,,
0.006763586,0.003783941,0.003097703,,,,,,
0.070819715,0.038070731,0.016633316,,,,,,
0.836517643,0.012646347,0.003878862,,,,,,
0.878101613,-0.009192277,0.001274099,,,,,,
0.669893133,0.034998926,0.02273175,,,,,,
0.587400426,-0.001304823,0.000794628,,,,,,
0.062692228,0.01571021,0.012024473,,,,,,
0.086055755,0.00591423,0.005610882,,,,,,
0.163704946,0.005518842,0.011262169,,,,,,
0.192232992,0.018870258,0.005029053,,,,,,
0.149882593,-0.027951394,0.001214838,,,,,,
0.141830811,0.006223421,0.007674221,,,,,,
0.014048506,-0.096571575,0.009629815,,,,,,
0.136232079,0.013243023,0.01009851,,,,,,
0.027904661,-0.013934782,0.000231654,,,,,,
0.138051361,0.045096257,0.008019009,,,,,,
0.123111289,-0.013837308,0.001955593,,,,,,
0.173142546,0.162537349,0.022545887,,,,,,
0.011637212,0.019149601,0.002569746,,,,,,
0.06977586,0.022746972,0.021896717,,,,,,
3.54251E-06,-0.006476406,0.003641821,,,,,,
0.067413531,0.02148479,0.011671605,,,,,,
0.061630685,-0.005565571,0.010437911,,,,,,
0.076305459,0.003155433,0.006583291,,,,,,
0.005838543,0.001368847,0.005753646,,,,,,
0.036759626,0.005364355,0.006849963,,,,,,
0.234628175,0.02260037,0.008075576,,,,,,
0.283887263,0.034941439,0.00349367,,,,,,
0.220457989,0.006056917,0.008436526,,,,,,
0.231246333,-0.013645551,0.005893755,,,,,,
0.020669067,0.024817366,0.006997605,,,,,,
0.146039821,0,0.003198838,,,,,,
0.004745494,0.004741959,0.010055835,,,,,,
0.124779597,0.015311185,0.012645371,,,,,,
0.11453811,0.070838116,0.011700952,,,,,,
