obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 1.3, 1509084, 262189, 10594, 18148, 60030, 29454, 9953, 8328, 23, 1, NA, 1907780,  4*
2, 2.3, 983531, 262888, 8279, 14379, 103459, 14150, 6806, 3341, 13, 1, NA, 1396833,  4*
3, 3.3, 786849, 159285, 86962, 16992, 78694, 31313, 10523, 5675, 16, 1, NA, 1176293,  4*
4, 4.3, 350582, 109009, 3440, 5632, 23594, 16838, 17336, 1392, 20, 1, NA, 527823,  4*
5, 6.3, 2174954, 914124, 54442, 207357, 56434, 279711, 48381, 4598, 29, 1, NA, 3740001,  4*
6, 7.3, 1132327, 40469, 9780, 5698, 8056, 6963, 7523, 644, 41, 17, NA, 1211460,  4*
7, 8.3, 2035099, 198400, 1744, 39665, 37211, 86521, 6894, 12755, 54, 7, NA, 2418289,  4*
8, 10.3, 1417999, 57933, 10790, 20299, 40121, 28966, 13990, 5151, 66, 23, NA, 1595249,  4*
9, 11.3, 569085, 77897, 3522, 29652, 14886, 41529, 14148, 2445, 67, 27, NA, 753164,  4*
10, 12.3, 1168227, 636131, 198862, 63503, 69866, 94244, 22876, 15701, 53, 38, NA, 2269410,  4*
11, 13.3, 338327, 165007, 34707, 4146, 21460, 20322, 15603, 1962, 37, 35, NA, 601534,  4*
12, 14.3, 905350, 542950, 178111, 85443, 65992, 150400, 31169, 16431, 44, 35, NA, 1975846,  4*
13, 15.3, 1417071, 386954, 21669, 78478, 99236, 81618, 36334, 7364, 35, 30, NA, 2128724,  4*
14, 17.3, 1495430, 53386, 7343, 4535, 88610, 15532, 14352, 948, 44, 14, NA, 1680136,  4*
15, 18.3, 942063, 715568, 170516, 102458, 103114, 39808, 57134, 8210, 14, 8, NA, 2138871,  4*
16, 19.3, 1772952, 49874, 61293, 73890, 42070, 23812, 8659, 5807, 14, 29, NA, 2038357,  4*
17, 21.2, 732925, 161793, 168496, 75969, 91742, 35795, 15374, 5518, 3, 56, NA, 1287612,  4*
18, 22.3, 3610658, 185947, 19258, 20088, 48392, 43617, 17208, 7105, 53, 50, NA, 3952273,  4*
19, 23.3, 749698, 247311, 59186, 182952, 124219, 56007, 33959, 18023, 51, 41, NA, 1471355,  4*
20, 25.2, 153644, 20697, 3586, 2513, 11396, 7851, 4732, 915, 66, 21, NA, 205334,  4*
21, 26.2, 1502447, 212811, 40185, 27292, 35652, 15696, 5310, 2504, 41, 43, NA, 1841897,  4*
22, 27.2, 1382598, 159922, 233494, 23798, 28318, 27807, 38090, 7696, 35, 51, NA, 1901723,  4*
23, 28.2, 215357, 44163, 20620, 58501, 16505, 14833, 7279, 2269, 24, 70, NA, 379527,  4*
24, 29.2, 379028, 75088, 8197, 26580, 12148, 31370, 22502, 39094, 34, 63, NA, 594007,  4*
25, 30.2, 117247, 27425, 17987, 23347, 15282, 3084, 4034, 3335, 29, 78, NA, 211741,  4*
26, 32.2, 2696227, 466305, 275681, 71554, 69725, 48307, 35849, 18733, 27, 69, NA, 3682381,  4*
27, 33.2, 862785, 171685, 77944, 10015, 32114, 29894, 19714, 10718, 16, 50, NA, 1214869,  4*
28, 34.2, 1231370, 172834, 56162, 32934, 13580, 5576, 3304, 2582, 10, 41, NA, 1518342,  4*
29, 36.2, 407266, 736090, 150553, 278857, 92713, 263758, 113181, 21611, 26, 37, NA, 2064029,  4*
