obs;time;Delta;Theta;Alpha1;Alpha2;Beta1;Beta2;Gamma1;Gamma2;Attention;Meditation;Derived;totPwr;class;;;
1;01.09;1592982;1072728;398007;174054;403067;448274;70857;58933;37;37;NA;4218902;4*;Alpha;Beta;Gamma
2;02.09;860210;396102;72544;26491;38940;18280;13074;3130;29;41;NA;1428771;4*;53384,28333;46848,20833;11017,775
3;03.09;2057779;536252;430843;181442;1016927;159181;159005;15301;38;44;NA;4556730;4*;;;
4;05.09;546697;110681;128134;32397;13256;27059;7931;5379;34;66;NA;871534;4*;;;
5;06.09;891636;323967;120412;114141;71150;58230;41350;12048;41;75;NA;1632934;4*;;;
6;07.08;3076465;1124850;215539;314810;428367;222295;166118;77637;41;74;NA;5626081;4*;;;
7;09.08;100013;81743;44940;13860;9978;20983;41425;12451;44;67;NA;325393;4*;;;
8;10.08;124764;21328;3351;12632;4807;9832;7928;2719;56;66;NA;187361;4*;;;
9;11.08;1011819;238871;74404;109907;57547;41499;8091;2245;53;70;NA;1544383;4*;;;
10;12.08;1159015;452429;47253;76537;74961;61317;73704;9542;50;63;NA;1954758;4*;;;
11;14.08;1877112;198538;61552;85721;71055;90558;17274;8738;50;67;NA;2410548;4*;;;
12;16.08;185811;4389;4908;4803;4895;1432;1503;344;41;75;NA;208085;4*;;;
13;17.08;1138734;116029;29405;36837;98002;70473;13144;11394;40;66;NA;1514018;4*;;;
14;18.08;1641522;85509;68042;68131;98970;79484;9446;6939;43;67;NA;2058043;4*;;;
15;20.08;736678;39963;16802;46718;70813;13028;11365;2018;44;61;NA;937385;4*;;;
16;21.08;1956008;1229981;160073;300527;144304;132506;25686;7568;51;69;NA;3956653;4*;;;
17;22.08;1313820;124950;10015;2227;7705;18181;9474;1633;41;50;NA;1488005;4*;;;
18;23.08;353335;63682;28782;18546;17750;8081;2118;2686;37;50;NA;494980;4*;;;
19;24.08.00;215557;9456;1492;11584;6113;1298;1032;110;23;57;NA;246642;4*;;;
20;25.08.00;60557;13527;5056;1284;7854;5271;4535;438;35;53;NA;98522;4*;;;
21;27.08.00;1847652;72789;3511;9723;3884;11508;4299;817;35;61;NA;1954183;4*;;;
22;28.08.00;279192;32202;2427;2189;4432;6422;2790;761;50;41;NA;330415;4*;;;
23;29.08.00;561252;193514;53418;15812;12517;15558;15464;4085;35;44;NA;871620;4*;;;
24;31.07.00;546274;362521;35848;11577;63116;45196;10276;4492;34;41;NA;1079300;4*;;;
25;32.07.00;611086;383885;358523;228719;174716;120633;22495;12384;29;53;NA;1912441;4*;;;
26;33.08.00;1072354;105691;40564;43840;25258;20046;3114;1144;35;57;NA;1312011;4*;;;
27;34.07.00;1941079;296340;232409;232995;78276;82568;84012;29477;35;83;NA;2977156;4*;;;
28;35.07.00;178508;21138;9975;6742;18974;13388;5774;992;47;87;NA;255491;4*;;;
29;36.07.00;1435416;1482847;54067;63014;147345;77739;16273;7845;38;61;NA;3284546;4*;;;
30;38.07.00;336294;15268;5662;3902;9743;2290;2658;360;37;56;NA;376177;4*;;;
31;39.07.00;1320579;939294;184824;249445;250831;293382;77091;29316;29;37;NA;3344762;4*;;;
32;40.07.00;1292537;52616;83852;37661;23561;22556;5792;784;40;66;NA;1519359;4*;;;
33;42.07.00;187653;27068;18706;5467;7147;6835;2352;935;44;70;NA;256163;4*;;;
34;43.07.00;1024524;385353;12899;85480;63594;20223;10641;2678;41;74;NA;1605392;4*;;;
35;44.07.00;1248057;83011;21578;53443;28233;58478;14556;7937;51;63;NA;1515293;4*;;;
36;45.07.00;469791;30834;18588;35534;9387;10130;4402;1545;50;70;NA;580211;4*;;;
37;46.07.00;2216186;733205;27914;28494;32861;40796;24868;12428;29;54;NA;3116752;4*;;;
38;47.07.00;513301;18550;20015;9495;21016;9363;2675;768;44;66;NA;595183;4*;;;
39;49.07.00;723163;155339;293269;68316;172447;60254;17549;4432;34;75;NA;1494769;4*;;;
40;51.07.00;236214;19007;6591;21801;12059;6915;2396;495;47;96;NA;305478;4*;;;
41;52.07.00;514701;71236;18681;10547;12034;6228;6036;1928;35;91;NA;641391;4*;;;
42;53.07.00;1413349;452464;133065;239578;167812;106447;44083;9325;37;83;NA;2566123;4*;;;
43;54.07.00;556867;180884;19299;49780;10567;22640;12203;5240;30;74;NA;857480;4*;;;
44;56.06.00;817756;361896;25023;9404;31675;37967;21462;11651;26;50;NA;1316834;4*;;;
45;57.06.00;980412;266729;21494;12191;64069;109478;52802;10217;34;37;NA;1517392;4*;;;
46;58.06.00;204097;70175;10493;3912;8242;23583;4695;2134;43;27;NA;327331;4*;;;
47;60.06.00;583987;228148;22225;64343;28686;31536;9912;8377;44;41;NA;977214;4;;;
48;61.06.00;1581486;78183;41092;95446;86181;77311;41883;14663;54;53;NA;2016245;4;;;
49;62.06.00;188478;57349;5428;10183;12462;9374;5879;916;48;56;NA;290069;4;;;
50;63.06.00;957512;98943;104306;136245;188326;112002;15232;3900;60;63;NA;1616466;4;;;
51;64.06.00;1891189;228222;81846;57168;79431;23011;10781;5961;53;69;NA;2377609;4;;;
52;65.06.00;1792869;105169;9544;18028;16818;18186;11564;1643;43;57;NA;1973821;4;;;
53;67.06.00;872247;67819;60710;16631;12993;27841;21193;5947;47;70;NA;1085381;4;;;
54;68.06.00;469441;25000;16231;28284;27992;30680;12565;1447;56;64;NA;611640;4;;;
55;69.06.00;1691798;180137;151967;14725;10278;17308;6881;3452;48;80;NA;2076546;4;;;
56;71.06.00;999751;75185;39470;40643;27772;41648;29094;7024;51;77;NA;1260587;4;;;
57;72.06.00;589486;83024;48625;16667;12755;6473;2716;556;26;81;NA;760302;4;;;
58;74.06.00;272199;120384;38222;6120;5640;18605;2973;505;35;70;NA;464648;4;;;
59;75.06.00;598169;134516;18212;57764;57583;20163;9917;2674;30;74;NA;898998;4;;;
60;76.06.00;1792602;477538;352794;68426;71790;147800;28780;2574;47;70;NA;2942304;4;;;
61;78.05.00;1668486;109865;51775;32672;56888;35633;7600;3644;51;75;NA;1966563;4;;;
62;80.06.00;1364412;281253;9996;36183;83900;93531;59204;18497;40;53;NA;1946976;4;;;
63;81.05.00;126315;130135;11919;9949;26343;15315;15976;2093;35;37;NA;338045;4;;;
64;82.06.00;289216;219554;13596;13887;45175;17519;4205;1700;24;21;NA;604852;4;;;
65;83.06.00;348400;285369;29347;14151;48185;25888;22115;1322;35;14;NA;774777;4;;;
66;85.05.00;419483;69276;3164;8113;33986;16697;21577;912;30;14;NA;573208;4;;;
67;86.05.00;255120;184622;11466;50415;31767;15868;10642;2032;40;34;NA;561932;4;;;
68;87.05.00;801378;115394;25362;56342;50856;59906;14135;1737;53;43;NA;1125110;4;;;
69;89.05.00;180458;204291;62645;5736;21358;23583;7084;3030;43;54;NA;508185;4;;;
70;90.05.00;1862321;93927;13336;25132;43692;22858;5694;2975;50;54;NA;2069935;4;;;
71;91.05.00;2283223;139256;89149;71856;34332;30336;19330;4532;38;63;NA;2672014;4;;;
72;92.05.00;191129;129342;10024;26361;70966;37482;5702;1089;48;56;NA;472095;4;;;
73;93.05.00;776704;49412;13027;31051;11374;18431;11450;4677;50;63;NA;916126;4;;;
74;94.05.00;2429299;1136698;199168;124643;269922;140416;70582;7409;44;61;NA;4378137;4;;;
75;94.05.00;1798730;71537;6875;9326;22397;21864;4885;3631;53;43;NA;1939245;4;;;
