obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 1.6, 51344, 18082, 2387, 5126, 6746, 5663, 1689, 945, 60, 78, NA, 91982,  X*
2, 3.5, 19854, 22043, 1924, 15275, 2383, 6785, 1935, 1148, 63, 75, NA, 71347,  X*
3, 4.5, 24770, 16071, 11771, 3006, 6027, 2874, 1203, 1142, 64, 56, NA, 66864,  X*
4, 5.5, 198246, 50993, 4791, 2487, 507, 1202, 614, 343, 41, 51, NA, 259183,  X*
5, 7.5, 72369, 54461, 15222, 26066, 12114, 6648, 2418, 1012, 30, 51, NA, 190310,  X*
6, 8.5, 41547, 35230, 14117, 10543, 4549, 7656, 5464, 1692, 30, 44, NA, 120798,  X*
7, 9.5, 141217, 46533, 9039, 3486, 6605, 6494, 2984, 3813, 47, 48, NA, 220171,  X*
8, 11.5, 42323, 56446, 7749, 15695, 4119, 2623, 4571, 1152, 40, 41, NA, 134678,  X*
9, 12.5, 29324, 27121, 6768, 3147, 5442, 4919, 2457, 798, 56, 35, NA, 79976,  X*
10, 13.5, 32925, 56192, 6906, 10410, 5388, 4249, 3132, 1640, 51, 37, NA, 120842,  X*
11, 14.5, 25024, 12969, 2544, 5323, 5137, 6135, 1416, 1057, 70, 37, NA, 59605,  X*
12, 15.5, 138099, 16441, 7517, 5681, 4075, 2012, 883, 1054, 61, 41, NA, 175762,  X*
13, 16.5, 31409, 41346, 10542, 4205, 3401, 4151, 2317, 1535, 56, 44, NA, 98906,  X*
14, 17.5, 22350, 15711, 9410, 4074, 1677, 7859, 2155, 1881, 70, 53, NA, 65117,  X*
15, 18.5, 46098, 51158, 12188, 13087, 7916, 3390, 3986, 1373, 53, 53, NA, 139196,  X*
16, 19.5, 2261082, 842228, 19542, 63736, 16778, 14914, 8932, 5235, 40, 37, NA, 3232447,  X*
17, 20.5, 1475428, 83946, 8978, 7814, 6280, 1983, 2118, 1596, 26, 30, NA, 1588143,  X*
18, 22.5, 7735, 1775, 3079, 2050, 1966, 671, 514, 860, 16, 40, NA, 18650,  X*
19, 23.5, 107273, 39303, 9552, 9845, 9839, 14053, 2884, 2007, 56, 54, NA, 194756,  X*
20, 24.5, 84070, 40714, 10859, 26412, 3877, 13077, 5916, 1349, 77, 67, NA, 186274,  X*
21, 26.4, 746975, 94556, 9691, 14671, 10732, 9257, 8497, 3755, 75, 50, NA, 898134,  X*
22, 27.4, 51377, 21278, 2066, 3321, 3455, 4721, 1472, 1716, 57, 35, NA, 89406,  X*
23, 28.5, 119862, 9647, 957, 3074, 1148, 1018, 538, 146, 50, 29, NA, 136390,  X*
24, 30.4, 355520, 31716, 10676, 9288, 3341, 7686, 1257, 489, 56, 37, NA, 419973,  X*
25, 31.4, 1959944, 280779, 18599, 38111, 22906, 21624, 10611, 3997, 51, 44, NA, 2356571,  X*
26, 32.4, 5009, 7533, 586, 1308, 3261, 1636, 922, 671, 60, 37, NA, 20926,  X*
27, 33.4, 66091, 51253, 7692, 5742, 3311, 3857, 6645, 3062, 50, 29, NA, 147653,  X*
