obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1,2.5,91235,45503,40968,9932,7447,11844,5865,1516,51,51, NA,214310,  X*
2,3.5,92331,82693,57998,22380,13456,8027,8583,1771,57,66, NA,287239,  X*
3,5.4,14996,17169,3265,4275,7093,11057,5621,1908,63,70, NA,65384,  X*
4,6.4,93632,73607,44381,22095,17210,10030,7464,3587,66,64, NA,272006,  X*
5,7.5,101131,2872,3900,1806,664,459,433,306,66,70, NA,111571,  X*
6,9.4,30310,32894,7912,5361,10232,4789,7898,1898,54,75, NA,101294,  X*
7,10.4,113490,49837,10534,27962,3473,8610,6439,1269,53,93, NA,221614,  X*
8,11.4,147888,95579,37362,29537,6137,12055,3869,1138,56,84, NA,333565,  X*
9,12.4,41810,5659,3191,4055,3328,7740,1141,1232,70,90, NA,68156,  X*
10,13.4,70658,42327,19615,8701,22744,9659,3864,1767,75,81, NA,179335,  X*
11,14.4,14463,18877,15277,12780,16680,4147,5939,2140,75,83, NA,90303,  X*
12,15.4,402302,90294,9839,11451,9373,5384,4069,2252,69,70, NA,534964,  X*
13,16.4,175948,83693,16768,14095,9963,13419,5488,3888,56,66, NA,323262,  X*
14,17.4,41156,11649,6787,18376,8279,3061,3039,631,51,80, NA,92978,  X*
15,18.4,11122,14150,5687,4711,5649,7642,5207,1874,61,74, NA,56042,  X*
16,20.4,97132,51787,5901,13333,3189,6414,2813,1475,66,78, NA,182044,  X*
17,21.4,287891,323987,35023,4528,11410,15023,5345,1416,67,56, NA,684623,  X*
18,22.4,571492,84022,13540,6066,2291,6415,3453,1342,53,50, NA,688621,  X*
19,24.3,111364,15404,2608,2233,1945,2376,554,674,56,47, NA,137158,  X*
20,25.4,449585,67820,18287,6648,11423,13010,5442,2629,61,66, NA,574844,  X*
21,26.4,32164,8884,3864,3936,8147,6704,3302,972,77,70, NA,67973,  X*
22,28.3,131075,38756,3462,2672,8411,2453,621,887,69,63, NA,188337,  X*
23,29.4,313084,188387,26419,13699,14989,5488,4800,2034,56,51, NA,568900,  X*
24,30.4,33687,48227,6464,17516,4708,6139,3479,1270,43,53, NA,121490,  X*
25,31.3,110279,22164,11462,1839,31675,9203,2601,1433,54,57, NA,190656,  X*
26,32.3,1616945,75274,16174,9444,10411,7538,6018,2081,50,51, NA,1743885,  X*
27,33.3,91606,65863,15500,23632,8163,4784,4249,2296,56,63, NA,216093,  X*
28,34.4,46311,22249,9723,48071,17417,7857,1861,787,57,77, NA,154276,  X*
29,35.3,3660,9594,10994,6889,3610,7091,3168,1730,57,93, NA,46736,  X*
30,36.3,18036,12302,3939,4561,1106,5338,3542,1425,67,97, NA,50249,  X*
31,37.3,197818,106035,25168,39816,19680,15120,3149,3218,74,97, NA,410004,  X*
32,39.3,194045,118867,18378,27631,7695,8972,5613,3714,67,83, NA,384915,  X*
33,40.3,50817,37275,25633,4164,4498,4654,3098,546,51,77, NA,130685,  X*
34,41.3,33555,10789,693,6137,2339,910,846,245,48,78, NA,55514,  X*
35,43.3,78398,8336,1212,1819,1727,1244,835,400,53,75, NA,93971,  X*
36,44.3,9602,54076,17557,9902,3893,6372,1606,549,53,77, NA,103557,  X*
37,45.3,23368,43594,4566,3803,7865,6663,2223,5456,60,63, NA,97538,  X*
38,47.3,32138,28163,8329,9250,10379,8047,3047,1357,64,67, NA,100710,  X*
39,48.3,42595,53549,34824,12682,2354,4605,2587,2753,47,75, NA,155949,  X*
40,49.3,211844,111200,15184,10430,18608,16736,17911,5569,44,78, NA,407482,  X*
41,50.3,72272,40281,3784,1461,14022,8888,4335,4087,47,60, NA,149130,  X*
42,51.3,28335,15713,7334,14372,16972,14797,12419,1830,69,54, NA,111772,  X*
43,52.3,10667,7440,5209,2046,3109,23427,9780,2790,94,41, NA,64468,  X*
44,54.3,3899,5673,7826,4320,5970,4675,4289,984,97,56, NA,37636,  X*
45,55.3,64964,96947,24398,14147,10051,11142,10564,1648,84,75, NA,233861,  X*
46,56.2,578188,22655,6232,1054,4823,12281,4534,1671,75,75, NA,631438,  X*
47,58.2,28427,47144,2414,4409,13902,7888,4477,837,69,53, NA,109498,  X*
48,59.2,263668,18677,8768,4755,1866,2194,910,512,69,54, NA,301350,  X*
49,60.2,47306,18896,13520,11681,14395,8184,6852,1225,64,67, NA,122059,  X
50,62.2,1623,3922,1847,1467,1950,11981,2202,2214,83,75, NA,27206,  X
51,63.2,74648,30265,14870,5227,5725,9438,6664,1965,80,78, NA,148802,  X
52,64.2,198205,102590,24430,6147,6477,7990,3446,1834,69,67, NA,351119,  X
53,65.2,634892,55507,5414,17543,38967,22483,5795,1417,56,69, NA,782018,  X
54,66.2,28829,53735,24647,10256,8911,7343,4320,1094,56,63, NA,139135,  X
55,67.2,106014,33603,10097,5374,10055,20111,3656,1218,63,56, NA,190128,  X
56,69.2,4203,7917,4573,2115,2135,3587,2197,1245,74,64, NA,27972,  X
57,70.2,30226,20412,1718,1691,1903,1869,882,520,74,54, NA,59221,  X
58,71.2,11523,11428,5431,5193,11199,7794,8760,1110,70,57, NA,62438,  X
59,73.2,9411,7484,5771,1321,2418,7910,3404,1240,78,56, NA,38959,  X
60,74.2,86697,7871,881,5600,4205,2366,1207,298,69,61, NA,109125,  X
61,75.2,109149,43883,8896,13692,13860,10487,2923,1521,63,60, NA,204411,  X
62,77.1,24440,70650,9359,14127,4943,12042,5279,1224,51,56, NA,142064,  X
63,78.1,89438,5467,3406,736,1365,2072,1089,493,50,56, NA,104066,  X
64,79.2,174701,38915,7417,3308,1470,3346,918,364,44,54, NA,230439,  X
65,80.1,34857,35071,10458,6420,8274,7263,2817,1600,44,56, NA,106760,  X
66,81.2,111898,21851,1598,3558,2505,1347,1493,737,50,61, NA,144987,  X
67,82.2,34542,28252,1294,15635,4331,9307,3672,1654,50,60, NA,98687,  X
68,84.1,3836,9964,650,1470,4637,5487,3719,2203,64,51, NA,31966,  X
69,85.1,49834,48575,57751,3969,27035,9963,9871,2209,64,60, NA,209207,  X
70,86.1,27871,32819,15483,10209,9527,10472,10351,3644,63,61, NA,120376,  X
71,88.1,221095,69676,14625,16349,8299,5783,6672,2353,48,75, NA,344852,  X
72,89.1,9830,6920,6324,699,2799,7385,5084,1394,61,70, NA,40435,  X
73,90.1,5578,17352,8112,4308,8153,8415,2497,1724,66,66, NA,56139,  X
74,92.1,46437,23595,1156,6135,3129,4903,2436,2670,74,61, NA,90461,  X
75,93.1,125700,51958,46058,13560,12557,9200,2497,1085,66,81, NA,262615,  X
76,94.1,28242,30856,4238,5371,2622,2414,1862,1155,54,80, NA,76760,  X
77,95.1,65985,88020,15539,18927,4425,7333,3515,1701,48,83, NA,205445,  X
78,96.1,540957,11081,15858,8969,6017,8462,5428,2069,48,84, NA,598841,  X
79,97.1,509055,132843,12754,5953,4018,4308,3977,2415,40,64, NA,675323,  X
80,99.1,12031,4634,1195,11193,9343,3814,5051,2072,50,77, NA,49333,  X
81,100.1,297366,46101,19420,22760,7410,9901,2716,1070,50,75, NA,406744,  X
82,101.1,27370,11379,5949,7381,3468,6241,1734,889,66,91, NA,64411,  X
83,103,503859,100042,9169,19891,10376,5573,4037,843,53,80, NA,653790,  X
84,104.1,38263,95600,42279,12082,5922,4767,4352,1109,35,81, NA,204374,  X
85,105.1,93912,47273,915,658,4805,2163,6001,813,23,50, NA,156540,  X
86,107,14156,24698,4135,2117,12176,4929,3801,1270,34,44, NA,67282,  X
87,108,337749,144328,31392,10564,7618,8953,1195,1276,40,34, NA,543075,  X
88,109.1,92782,22622,3947,4413,1211,1443,727,475,38,57, NA,127620,  X
89,110,109742,40211,2883,1711,6159,7408,1705,1056,40,53, NA,170875,  X
90,111,66898,67743,11586,20168,7899,4701,4398,1275,37,54, NA,184668,  X
91,112,70988,28394,3494,3701,5296,2399,2026,615,38,51, NA,116913,  X
92,112,313085,91385,4192,16002,10773,11887,5739,1939,44,44, NA,455002,  X
