obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 1.9, 85449, 48847, 5936, 30989, 11638, 5612, 3273, 2267, 1, 75, NA, 194011,  X*
2, 3.0, 113855, 96525, 17691, 21409, 14379, 7117, 3285, 2271, 4, 77, NA, 276532,  X*
3, 3.9, 52475, 23228, 3854, 4018, 3815, 10410, 3933, 1258, 38, 77, NA, 102991,  X*
4, 4.9, 52421, 14600, 5186, 9872, 9259, 8148, 1876, 1526, 57, 77, NA, 102888,  X*
5, 5.9, 85044, 9174, 22216, 9405, 4748, 6098, 5039, 1145, 67, 84, NA, 142869,  X*
6, 6.9, 40393, 13293, 4932, 11653, 7116, 7744, 5481, 4067, 90, 91, NA, 94679,  X*
7, 7.9, 66144, 21358, 11124, 3778, 3626, 13211, 9796, 2375, 90, 96, NA, 131412,  X*
8, 8.9, 14448, 14518, 9029, 5837, 9995, 5969, 3982, 3322, 87, 96, NA, 67100,  X*
9, 9.9, 6471, 4733, 3674, 5232, 4899, 5442, 6199, 2294, 97, 87, NA, 38944,  X*
10, 10.9, 24999, 15531, 16745, 6936, 8753, 4327, 8000, 2718, 87, 90, NA, 88009,  X*
11, 11.9, 52284, 29944, 9866, 14251, 6209, 4891, 8978, 4697, 69, 93, NA, 131120,  X*
12, 12.9, 48440, 22525, 16590, 14100, 16332, 12777, 6215, 7101, 74, 94, NA, 144080,  X*
13, 13.9, 35591, 34778, 2890, 11366, 19464, 5682, 13307, 7917, 60, 84, NA, 130995,  X*
14, 15.9, 34073, 11236, 1210, 2642, 8547, 8040, 13810, 3688, 80, 66, NA, 83246,  X*
15, 16.9, 50973, 21549, 2278, 6277, 3107, 2316, 3786, 1623, 69, 56, NA, 91909,  X*
16, 17.9, 49138, 8015, 1241, 793, 1054, 596, 261, 487, 61, 56, NA, 61585,  X*
17, 19.9, 63115, 20510, 6643, 23352, 12616, 11603, 14049, 7928, 51, 70, NA, 159816,  X*
18, 20.9, 80386, 22287, 32127, 5211, 14945, 18968, 7927, 6505, 60, 77, NA, 188356,  X*
19, 21.9, 45675, 44727, 10772, 12596, 7355, 14727, 4778, 17693, 74, 81, NA, 158323,  X*
20, 23.8, 150512, 44805, 11568, 8548, 21267, 17610, 26783, 3780, 77, 69, NA, 284873,  X*
21, 24.9, 882840, 55431, 28803, 6525, 30682, 14498, 21855, 15451, 70, 61, NA, 1056085,  X*
22, 25.8, 898402, 53316, 45338, 44509, 25469, 40746, 37326, 14819, 75, 69, NA, 1159925,  X*
23, 27.8, 1240697, 89685, 24543, 11619, 12264, 10510, 5264, 11208, 60, 74, NA, 1405790,  X*
24, 28.8, 112819, 26689, 8086, 14351, 6831, 16770, 20385, 5431, 74, 78, NA, 211362,  X*
25, 29.8, 168084, 24310, 255, 5570, 5021, 6492, 9854, 3190, 69, 63, NA, 222776,  X*
26, 31.8, 966355, 487462, 241966, 84388, 96285, 34017, 46494, 14441, 63, 67, NA, 1971408,  X*
27, 32.8, 455776, 85403, 20322, 1269, 6689, 15515, 27802, 12900, 70, 54, NA, 625676,  X*
28, 33.8, 862896, 136624, 29804, 18110, 54829, 17307, 9833, 4481, 61, 60, NA, 1133884,  X*
29, 34.8, 76925, 45618, 864, 7813, 13323, 33810, 17272, 1259, 93, 41, NA, 196884,  X*
30, 35.8, 321748, 232403, 27950, 15535, 20024, 36890, 26581, 3425, 77, 37, NA, 684556,  X*
31, 36.8, 71285, 8388, 5591, 6404, 14886, 22276, 24359, 6076, 93, 40, NA, 159265,  X*
32, 37.8, 1160312, 337224, 70718, 32390, 17898, 29583, 15410, 9050, 87, 41, NA, 1672585,  X*
33, 38.8, 268587, 99284, 18071, 5336, 10715, 3893, 13716, 2269, 51, 50, NA, 421871,  X*
34, 39.8, 2156964, 320554, 55048, 51258, 19463, 44229, 46071, 11802, 44, 56, NA, 2705389,  X*
35, 40.8, 161248, 33323, 8394, 2427, 3852, 3145, 4171, 1097, 16, 56, NA, 217657,  X*
36, 42.8, 617592, 45856, 6527, 3686, 6993, 2311, 770, 749, 11, 51, NA, 684484,  X*
37, 43.8, 715296, 71203, 25728, 8252, 9701, 8924, 2947, 1767, 11, 54, NA, 843818,  X*
38, 44.8, 1215245, 24921, 25213, 14215, 9554, 21626, 6998, 1768, 27, 64, NA, 1319540,  X*
39, 46.8, 837089, 303010, 465684, 453064, 615328, 608020, 62486, 15252, 53, 80, NA, 3359933,  X*
40, 47.8, 1238563, 644697, 88821, 137919, 169828, 131230, 10297, 2612, 77, 78, NA, 2423967,  X*
41, 50.7, 472109, 90578, 37046, 23680, 78197, 58700, 11426, 4790, 80, 67, NA, 776526,  X*
42, 51.7, 72354, 17779, 4517, 1843, 5502, 1987, 4512, 3010, 51, 51, NA, 111504,  X*
43, 52.8, 75622, 33611, 28671, 20961, 9983, 15089, 49308, 12940, 51, 64, NA, 246185,  X*
44, 54.7, 688859, 72646, 2349, 9060, 3949, 9642, 4259, 1974, 40, 57, NA, 792738,  X*
45, 55.7, 1792579, 360214, 63778, 326721, 608530, 310983, 42514, 15802, 54, 54, NA, 3521121,  X*
46, 56.7, 128363, 8583, 3949, 383, 1617, 1755, 1164, 608, 51, 48, NA, 146422,  X*
47, 57.7, 497616, 104064, 74633, 57713, 25573, 75976, 77456, 32991, 63, 64, NA, 946022,  X*
48, 58.7, 32244, 53321, 25039, 15371, 23171, 28988, 20908, 6419, 78, 78, NA, 205461,  X*
49, 59.7, 303469, 30842, 5772, 4592, 1887, 2616, 3923, 2017, 57, 78, NA, 355118,  X*
50, 60.7, 211822, 6993, 10051, 10354, 15298, 10926, 2743, 705, 69, 81, NA, 268892,  X
51, 62.7, 527654, 170242, 51875, 64429, 10945, 23056, 16354, 3518, 54, 80, NA, 868073,  X
52, 63.7, 1304484, 138577, 85046, 55900, 11740, 14444, 28529, 23856, 37, 87, NA, 1662576,  X
53, 66.7, 75545, 37559, 6882, 6260, 1798, 4191, 4278, 882, 40, 87, NA, 137395,  X
54, 67.7, 556222, 32395, 9239, 29189, 6348, 5428, 1670, 1712, 16, 84, NA, 642203,  X
55, 69.7, 1404120, 913330, 203693, 30090, 249401, 69834, 58047, 12529, 17, 69, NA, 2941044,  X
56, 70.7, 329175, 831924, 191785, 56724, 62980, 24693, 47793, 19975, 1, 57, NA, 1565049,  X
57, 71.7, 935400, 94037, 28991, 4119, 5096, 11422, 2355, 1296, 1, 48, NA, 1082716,  X
58, 73.6, 108929, 9518, 4000, 2093, 13301, 8889, 3777, 2241, 20, 47, NA, 152748,  X
59, 74.7, 343162, 54330, 21523, 13107, 5259, 6107, 7803, 8504, 30, 63, NA, 459795,  X
60, 75.7, 1768365, 360598, 170032, 56837, 75296, 59439, 39314, 22185, 48, 66, NA, 2552066,  X
61, 76.6, 120904, 16694, 1489, 1110, 1623, 1304, 2856, 175, 44, 57, NA, 146155,  X
62, 77.6, 216717, 30688, 19311, 9199, 3842, 16662, 9142, 8209, 40, 69, NA, 313770,  X
63, 78.7, 365810, 111857, 15940, 13325, 10028, 10585, 2724, 2106, 40, 61, NA, 532375,  X
64, 79.6, 2232167, 86949, 3233, 4160, 2782, 6199, 3086, 648, 35, 44, NA, 2339224,  X
65, 80.6, 688426, 37840, 8798, 8242, 2629, 9281, 3849, 3482, 44, 54, NA, 762547,  X
66, 81.6, 201083, 89144, 37333, 15506, 13391, 12160, 6836, 2628, 30, 51, NA, 378081,  X
67, 82.6, 669535, 213342, 45915, 21638, 8520, 7247, 10160, 3833, 21, 56, NA, 980190,  X
68, 84.6, 71892, 19638, 7463, 1770, 860, 1383, 962, 909, 16, 74, NA, 104877,  X
69, 85.6, 921884, 32873, 6993, 3501, 7530, 5898, 11003, 1216, 26, 67, NA, 990898,  X
70, 86.6, 1118442, 172990, 103821, 55526, 47756, 42921, 36941, 8663, 41, 74, NA, 1587060,  X
71, 88.6, 12299, 11186, 4276, 1364, 2943, 2950, 2350, 353, 56, 69, NA, 37721,  X
72, 89.6, 152754, 21563, 517, 2905, 2237, 6910, 5572, 3453, 60, 60, NA, 195911,  X
73, 90.6, 350277, 21749, 482, 2292, 5880, 14407, 2490, 1054, 77, 37, NA, 398631,  X
74, 92.6, 209265, 11458, 5428, 8764, 7850, 10167, 18414, 2389, 87, 41, NA, 273735,  X
