obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 1.6, 14797, 7327, 9305, 6165, 10330, 12431, 3147, 2010, 83, 51, NA, 65512,  X*
2, 2.6, 26240, 31968, 5460, 3751, 10362, 14989, 4019, 2806, 88, 34, NA, 99595,  X*
3, 3.5, 49800, 29787, 4829, 2073, 11097, 3506, 2817, 988, 78, 40, NA, 104897,  X*
4, 4.5, 176441, 30224, 17776, 13158, 6562, 8464, 4041, 2263, 69, 54, NA, 258929,  X*
5, 5.5, 403440, 24748, 17709, 13001, 15790, 7869, 5202, 2897, 57, 56, NA, 490656,  X*
6, 6.6, 177466, 187636, 45355, 9823, 7262, 10228, 7912, 2927, 40, 61, NA, 448609,  X*
7, 7.5, 252134, 61102, 44239, 39938, 13792, 11044, 10102, 2212, 37, 80, NA, 434563,  X*
8, 8.5, 363603, 29388, 5625, 7704, 9784, 12876, 5827, 3301, 43, 69, NA, 438108,  X*
9, 9.5, 719916, 261735, 48380, 21769, 15340, 7254, 7056, 3301, 26, 61, NA, 1084751,  X*
10, 11.5, 86077, 62994, 30240, 16145, 2142, 18448, 4840, 3073, 40, 67, NA, 223959,  X*
11, 12.5, 223345, 9650, 10766, 2340, 1515, 1990, 2172, 1046, 27, 64, NA, 252824,  X*
12, 13.5, 493573, 23301, 12950, 8532, 38604, 18091, 5849, 3212, 53, 66, NA, 604112,  X*
13, 15.5, 154279, 29676, 43611, 21143, 19051, 12052, 3667, 4456, 51, 74, NA, 287935,  X*
14, 16.5, 316949, 257843, 9364, 26293, 15913, 13423, 2345, 2408, 40, 57, NA, 644538,  X*
15, 17.5, 76194, 99528, 5194, 38239, 9067, 37500, 4824, 2406, 37, 57, NA, 272952,  X*
16, 18.5, 43048, 28408, 1589, 20338, 6792, 7998, 10454, 4937, 38, 50, NA, 123564,  X*
17, 19.5, 81464, 20194, 3020, 3088, 3481, 2820, 1101, 589, 48, 47, NA, 115757,  X*
18, 20.5, 358977, 37062, 6482, 16722, 13325, 5357, 6125, 1303, 53, 57, NA, 445353,  X*
19, 21.5, 42933, 20019, 1387, 10230, 5124, 4387, 3133, 941, 48, 60, NA, 88154,  X*
20, 22.5, 69170, 73893, 11386, 14969, 13193, 5691, 4821, 2128, 38, 54, NA, 195251,  X*
21, 23.5, 487131, 148387, 116428, 19629, 14681, 13186, 9716, 6548, 29, 67, NA, 815706,  X*
22, 24.5, 109340, 59513, 10321, 19001, 9383, 13685, 7606, 2704, 35, 66, NA, 231553,  X*
23, 26.4, 139834, 19565, 6259, 5185, 3675, 5393, 2308, 5980, 37, 66, NA, 188199,  X*
24, 27.5, 172350, 38844, 3056, 7073, 7343, 7339, 3722, 1696, 54, 54, NA, 241423,  X*
25, 28.5, 27451, 78811, 44700, 14180, 4798, 12052, 3186, 4617, 50, 60, NA, 189795,  X*
26, 30.4, 73318, 60687, 4134, 17412, 9347, 8176, 4250, 3814, 44, 56, NA, 181138,  X*
27, 31.4, 151554, 34567, 38094, 8977, 10581, 5101, 4978, 2776, 35, 77, NA, 256628,  X*
28, 32.4, 206193, 21417, 16097, 5429, 11118, 5431, 4916, 3410, 38, 75, NA, 274011,  X*
29, 34.4, 44844, 42118, 4349, 3698, 11198, 7658, 2658, 1665, 43, 67, NA, 118188,  X*
30, 35.4, 52260, 8412, 2086, 12171, 11293, 3924, 1640, 1774, 54, 67, NA, 93560,  X*
31, 36.4, 27903, 35899, 28355, 10027, 8162, 11558, 4030, 6294, 56, 70, NA, 132228,  X*
32, 37.4, 40816, 48380, 20022, 8250, 18963, 8437, 6795, 1505, 53, 80, NA, 153168,  X*
33, 38.4, 32594, 48971, 12088, 5563, 9222, 9928, 1584, 2045, 53, 66, NA, 121995,  X*
34, 39.4, 16042, 7089, 5485, 9217, 4535, 5150, 2293, 1298, 56, 70, NA, 51109,  X*
