obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 1.8, 2716, 13165, 7456, 8592, 5499, 4175, 2395, 1802, 64, 61, NA, 45800,  X*
2, 2.8, 30513, 17419, 8856, 5457, 3429, 3789, 2639, 919, 64, 60, NA, 73021,  X*
3, 3.8, 10417, 8199, 2967, 3409, 1480, 4374, 3160, 4504, 69, 56, NA, 38510,  X*
4, 4.8, 9096, 19592, 3792, 9969, 1774, 9599, 5805, 1431, 80, 53, NA, 61058,  X*
5, 5.8, 9563, 13998, 7392, 6203, 8043, 5318, 3628, 2427, 83, 50, NA, 56572,  X*
6, 6.8, 9404, 12932, 4373, 4294, 1131, 3987, 2442, 2108, 88, 50, NA, 40671,  X*
7, 7.8, 4388, 24695, 2494, 8082, 6223, 4334, 3901, 686, 80, 44, NA, 54803,  X*
8, 8.8, 13743, 21748, 10072, 4790, 2741, 3704, 3080, 556, 70, 48, NA, 60434,  X*
9, 9.8, 6063, 15648, 6681, 6375, 6128, 2197, 2212, 876, 61, 48, NA, 46180,  X*
10, 10.8, 14716, 28224, 3735, 2061, 2516, 4706, 2918, 1114, 57, 40, NA, 59990,  X*
11, 11.7, 64248, 55997, 17553, 4082, 18430, 3241, 2730, 838, 48, 40, NA, 167119,  X*
12, 12.7, 8705, 2973, 13152, 12873, 1910, 4049, 2208, 2107, 51, 53, NA, 47977,  X*
13, 13.8, 6911, 9840, 20704, 3218, 1902, 2677, 3267, 1815, 51, 61, NA, 50334,  X*
14, 14.7, 94886, 42705, 8851, 11550, 2094, 1936, 2102, 1327, 37, 67, NA, 165451,  X*
15, 15.7, 57947, 21791, 54935, 18605, 5619, 6922, 6991, 1631, 43, 84, NA, 174441,  X*
16, 16.7, 27259, 25981, 5096, 2715, 5209, 6593, 4585, 1003, 44, 63, NA, 78441,  X*
17, 17.7, 36673, 11072, 6937, 2070, 8804, 9843, 5817, 2633, 63, 50, NA, 83849,  X*
18, 18.7, 136359, 31609, 1714, 1448, 802, 5109, 1168, 755, 77, 37, NA, 178964,  X*
19, 19.7, 68511, 29525, 1921, 15181, 4035, 5250, 2620, 1930, 80, 24, NA, 128973,  X*
20, 20.7, 36720, 8097, 894, 6026, 11352, 6872, 2553, 2474, 90, 26, NA, 74988,  X*
21, 21.7, 57126, 57273, 14576, 9218, 7833, 4986, 2481, 835, 69, 27, NA, 154328,  X*
22, 22.7, 13130, 18367, 16817, 13558, 14298, 5356, 6265, 1084, 67, 47, NA, 88875,  X*
23, 23.7, 614917, 93326, 35255, 13619, 8111, 5133, 1805, 1292, 57, 44, NA, 773458,  X*
24, 24.7, 21438, 13655, 12159, 30504, 10055, 2458, 3798, 1193, 37, 60, NA, 95260,  X*
25, 25.7, 66612, 128690, 4880, 9828, 6279, 5104, 3363, 1004, 29, 51, NA, 225760,  X*
26, 26.7, 56604, 53736, 13373, 7662, 10485, 7384, 2771, 1544, 27, 43, NA, 153559,  X*
27, 27.7, 9247, 28468, 12623, 17801, 6648, 3851, 3951, 1260, 35, 48, NA, 83849,  X*
28, 28.7, 39490, 74354, 40794, 21451, 7361, 4087, 2869, 3037, 29, 41, NA, 193443,  X*
29, 29.7, 6953, 5733, 9648, 33603, 3472, 6553, 2401, 2164, 43, 67, NA, 70527,  X*
30, 30.7, 26000, 23035, 3585, 14517, 4373, 3534, 2173, 2102, 41, 74, NA, 79319,  X*
31, 31.7, 63303, 52515, 37686, 3757, 2872, 8417, 1936, 1176, 44, 70, NA, 171662,  X*
32, 32.7, 14558, 42608, 4768, 8564, 3584, 4836, 3395, 562, 54, 63, NA, 82875,  X*
33, 33.7, 15713, 21279, 25360, 1995, 9270, 7128, 5163, 1024, 56, 51, NA, 86932,  X*
34, 34.7, 3157, 13340, 3189, 6706, 6590, 3262, 8205, 1151, 61, 50, NA, 45600,  X*
35, 35.6, 46623, 71205, 16233, 12736, 15836, 4815, 2565, 1322, 54, 44, NA, 171335,  X*
36, 36.6, 37054, 84936, 8223, 19723, 12930, 7703, 5272, 2355, 53, 44, NA, 178196,  X*
37, 37.7, 584375, 132287, 9042, 22485, 8249, 8289, 9605, 5700, 44, 35, NA, 780032,  X*
38, 39.6, 3951, 22881, 4689, 9900, 4686, 8147, 2446, 2055, 48, 35, NA, 58755,  X*
39, 40.6, 79271, 106663, 16305, 17116, 4574, 3542, 3370, 2604, 48, 41, NA, 233445,  X*
40, 41.7, 27638, 23371, 14326, 5628, 4257, 3189, 2586, 2683, 51, 50, NA, 83678,  X*
41, 43.6, 50209, 115165, 16727, 9420, 8810, 3652, 1540, 2453, 30, 43, NA, 207976,  X*
42, 44.6, 72847, 114592, 46869, 22813, 10101, 6973, 3677, 1050, 35, 47, NA, 278922,  X*
43, 45.6, 12100, 35833, 2275, 1817, 5182, 3615, 2968, 910, 37, 30, NA, 64700,  X*
44, 47.6, 28287, 42828, 4949, 8823, 2168, 4359, 1196, 1222, 48, 35, NA, 93832,  X*
45, 48.6, 22868, 9589, 2694, 15707, 2152, 8125, 4259, 1570, 56, 47, NA, 66964,  X*
46, 49.6, 693749, 109926, 15029, 12661, 2816, 8868, 4456, 1076, 53, 53, NA, 848581,  X*
47, 51.6, 2021, 11225, 469, 2497, 4355, 4812, 1522, 932, 66, 48, NA, 27833,  X*
48, 52.6, 24076, 40383, 15184, 15610, 6836, 3494, 2041, 2132, 57, 40, NA, 109756,  X*
49, 53.6, 6142, 10617, 22190, 3502, 10124, 2248, 1664, 1120, 57, 51, NA, 57607,  X*
50, 55.6, 5749, 7801, 7287, 812, 4566, 1760, 1285, 1652, 48, 63, NA, 30912,  X*
51, 56.6, 117174, 66858, 31066, 2059, 11296, 5089, 5720, 1982, 34, 54, NA, 241244,  X*
52, 57.6, 47447, 32229, 15557, 5185, 1537, 6512, 1314, 849, 40, 50, NA, 110630,  X*
53, 59.6, 16806, 30373, 12161, 5715, 2400, 2914, 4600, 1475, 35, 48, NA, 76444,  X*
54, 60.6, 968720, 217907, 16690, 13637, 16354, 7137, 3402, 2766, 35, 47, NA, 1246613,  X
55, 61.6, 149474, 64927, 27789, 4454, 9499, 2293, 7279, 686, 20, 44, NA, 266401,  X
56, 63.5, 45480, 147822, 27192, 18912, 11751, 3841, 1183, 1118, 10, 40, NA, 257299,  X
57, 64.5, 154513, 166252, 49678, 8065, 11018, 2567, 2649, 834, 7, 41, NA, 395576,  X
58, 65.6, 23908, 40582, 3691, 3285, 10191, 3269, 3695, 1745, 16, 30, NA, 90366,  X
59, 67.5, 38084, 26073, 24063, 12522, 7545, 6652, 3000, 1692, 29, 41, NA, 119631,  X
60, 68.5, 21503, 53717, 10775, 15374, 3720, 3616, 3523, 3181, 37, 54, NA, 115409,  X
61, 69.5, 113615, 27359, 12207, 26742, 28729, 6575, 3387, 1602, 40, 66, NA, 220216,  X
62, 71.5, 26765, 21509, 30617, 9224, 2014, 3148, 9479, 2384, 34, 69, NA, 105140,  X
63, 72.5, 5919, 24295, 9296, 6800, 3462, 7072, 4310, 1938, 47, 57, NA, 63092,  X
64, 73.5, 108823, 47741, 38120, 31666, 7436, 5711, 3713, 2399, 41, 63, NA, 245609,  X
65, 75.5, 32843, 97513, 45250, 12636, 24095, 3621, 2766, 1111, 35, 54, NA, 219835,  X
66, 76.5, 102696, 73162, 33461, 18696, 5445, 3901, 2035, 2422, 17, 54, NA, 241818,  X
67, 77.5, 61037, 53723, 17797, 32539, 17819, 2473, 3040, 3070, 11, 50, NA, 191498,  X
68, 79.5, 399184, 41643, 13890, 5989, 10260, 6058, 2493, 2614, 23, 47, NA, 482131,  X
69, 80.5, 631839, 98265, 15386, 9373, 6123, 8548, 4961, 1514, 34, 41, NA, 776009,  X
70, 81.5, 14302, 30549, 15873, 2429, 7418, 4304, 5192, 412, 47, 38, NA, 80479,  X
71, 83.5, 5421, 11417, 493, 5488, 6444, 1937, 1922, 1001, 48, 37, NA, 34123,  X
72, 84.5, 645876, 170120, 11889, 16144, 3911, 5450, 3201, 3868, 47, 37, NA, 860459,  X
73, 85.5, 177906, 66504, 15529, 8200, 17435, 6821, 4800, 2794, 44, 34, NA, 299989,  X
74, 86.4, 1871, 10641, 9329, 4724, 1639, 2681, 2204, 1266, 43, 41, NA, 34355,  X
75, 87.4, 75538, 148911, 38535, 8675, 14968, 3713, 3593, 981, 26, 37, NA, 294914,  X
76, 88.5, 146341, 65506, 18237, 23349, 6125, 6318, 2624, 2267, 35, 47, NA, 270767,  X
77, 89.5, 146120, 72322, 27744, 34358, 7467, 4308, 1495, 1481, 26, 56, NA, 295295,  X
78, 90.4, 27210, 16564, 15654, 8369, 4702, 7246, 2029, 2839, 30, 54, NA, 84613,  X
79, 91.4, 37762, 58027, 52769, 10109, 11523, 5390, 1656, 1666, 38, 63, NA, 178902,  X
80, 92.4, 121062, 77637, 36754, 13227, 5629, 3855, 3942, 1528, 34, 64, NA, 263634,  X
81, 93.4, 97648, 149153, 34900, 11063, 4313, 5720, 1746, 1170, 34, 56, NA, 305713,  X
82, 94.4, 26726, 24474, 13970, 6881, 2609, 6054, 4208, 2655, 27, 54, NA, 87577,  X
83, 95.4, 68649, 56577, 9523, 15973, 3867, 3410, 3125, 1022, 27, 48, NA, 162146,  X
84, 96.4, 534588, 91130, 19297, 38173, 5823, 3730, 2336, 1949, 26, 48, NA, 697026,  X
85, 97.4, 80570, 112509, 23774, 21986, 3432, 3509, 3728, 1680, 23, 50, NA, 251188,  X
86, 98.4, 50852, 108741, 12334, 8098, 4646, 6817, 2428, 1457, 14, 40, NA, 195373,  X
87, 99.4, 31262, 35400, 20781, 13782, 7313, 2477, 4550, 2163, 13, 44, NA, 117728,  X
88, 100.4, 105769, 38703, 3385, 6506, 4461, 4880, 2512, 1027, 26, 37, NA, 167243,  X
89, 101.4, 4900, 21673, 6181, 5074, 6143, 4246, 2282, 1883, 43, 37, NA, 52382,  X
90, 102.4, 16167, 23908, 6539, 5874, 6360, 7972, 2084, 1037, 56, 41, NA, 69941,  X
