obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 7.8, 49170, 11538, 13088, 9397, 9816, 9001, 12977, 13885, NA, NA, NA, 128872,  X*
2, 8.8, 21203, 12438, 26405, 4806, 8459, 12980, 6568, 2755, NA, NA, NA, 95614,  X*
3, 9.8, 7181, 5847, 3671, 2367, 5499, 3782, 6192, 2453, 51, 30, NA, 36992,  X*
4, 10.8, 10441, 4064, 6541, 1270, 4986, 7840, 5014, 4114, 74, 27, NA, 44270,  X*
5, 11.8, 5594, 8582, 6315, 12597, 5783, 12731, 7008, 6260, 88, 35, NA, 64870,  X*
6, 12.8, 75491, 30369, 51140, 4035, 7204, 6036, 2831, 1792, 87, 54, NA, 178898,  X*
7, 14.8, 1163610, 72370, 13547, 2335, 8218, 2324, 908, 806, 61, 44, NA, 1264118,  X*
8, 15.8, 526604, 93380, 35612, 6860, 2982, 7869, 3067, 2837, 37, 47, NA, 679211,  X*
9, 17.7, 736466, 80668, 11094, 8438, 1725, 3733, 792, 1050, 11, 26, NA, 843966,  X*
10, 18.8, 42555, 4720, 8907, 11039, 3617, 6464, 2853, 6827, 40, 40, NA, 86982,  X*
11, 19.8, 64751, 5250, 1262, 1834, 7101, 9310, 8692, 3155, 67, 23, NA, 101355,  X*
12, 21.7, 87632, 23857, 3752, 3752, 2076, 13737, 6187, 2781, 91, 23, NA, 143774,  X*
13, 22.7, 37851, 16263, 6392, 3995, 7563, 3409, 3686, 1172, 96, 3, NA, 80331,  X*
14, 23.7, 31217, 10189, 9681, 3134, 6250, 7649, 2240, 1109, 84, 27, NA, 71469,  X*
15, 25.7, 6113, 3298, 1861, 3545, 2141, 6684, 2568, 1155, 90, 43, NA, 27365,  X*
16, 26.7, 19893, 8252, 6448, 1482, 6371, 5329, 2424, 1421, 91, 40, NA, 51620,  X*
17, 27.7, 3825, 2217, 4496, 2922, 2826, 5412, 2528, 1870, 96, 44, NA, 26096,  X*
18, 28.7, 7193, 3946, 2473, 6503, 2778, 5212, 2248, 2768, 91, 53, NA, 33121,  X*
19, 29.7, 6136, 8100, 7041, 1037, 3925, 5428, 1444, 4521, 93, 64, NA, 37632,  X*
20, 30.7, 76966, 18381, 3761, 13186, 2748, 2874, 1648, 3164, 80, 77, NA, 122728,  X*
21, 31.7, 2139, 6680, 710, 2757, 1519, 5036, 1664, 777, 80, 57, NA, 21282,  X*
22, 32.7, 48396, 24684, 11156, 2361, 4061, 4412, 3943, 5023, 66, 44, NA, 104036,  X*
23, 33.7, 205965, 34118, 25154, 11976, 5083, 9615, 2995, 917, 57, 56, NA, 295823,  X*
24, 34.7, 21835, 10218, 10731, 4053, 6745, 5968, 3350, 1069, 67, 53, NA, 63969,  X*
25, 36.7, 112236, 19561, 6829, 1129, 2632, 2369, 764, 267, 51, 57, NA, 145787,  X*
26, 37.7, 32281, 5226, 2575, 4838, 5278, 7041, 2666, 1003, 64, 50, NA, 60908,  X*
27, 38.7, 52790, 52111, 12275, 2482, 1977, 7694, 2007, 781, 57, 30, NA, 132117,  X*
28, 40.7, 46623, 80515, 9710, 30677, 71965, 92482, 15177, 2642, 78, 16, NA, 349791,  X*
29, 41.7, 5372, 9862, 1842, 1971, 5777, 4723, 1595, 2967, 66, 1, NA, 34109,  X*
30, 42.7, 24985, 45628, 474, 12560, 2767, 3962, 3624, 1239, 61, 1, NA, 95239,  X*
31, 44.7, 21660, 43297, 6971, 3599, 3122, 4702, 4344, 1114, 41, 1, NA, 88809,  X*
32, 45.6, 4502, 8304, 3593, 5949, 4586, 4305, 5090, 485, 57, 23, NA, 36814,  X*
33, 46.6, 32413, 34834, 10885, 3805, 5144, 8643, 4460, 970, 66, 27, NA, 101154,  X*
34, 47.6, 5907, 21775, 2460, 6762, 2901, 6765, 2995, 1360, 75, 34, NA, 50925,  X*
35, 48.6, 5418, 14478, 5604, 3152, 4087, 3775, 4912, 2165, 66, 35, NA, 43591,  X*
36, 49.6, 12270, 7312, 5378, 1703, 2845, 2570, 3282, 1222, 63, 35, NA, 36582,  X*
37, 50.6, 16000, 43453, 19455, 2696, 5569, 3601, 2547, 1856, 51, 40, NA, 95177,  X*
38, 51.6, 368117, 41839, 8264, 2796, 5062, 4299, 8167, 2832, 43, 35, NA, 441376,  X*
39, 52.6, 27922, 21168, 7761, 3222, 3556, 5241, 2738, 1003, 43, 30, NA, 72611,  X*
40, 53.6, 9558, 3931, 5004, 4519, 3259, 5455, 2604, 1201, 51, 38, NA, 35531,  X*
41, 55.6, 2763, 12483, 3273, 2684, 3850, 4863, 2264, 1240, 66, 29, NA, 33420,  X*
42, 56.6, 40280, 29764, 3534, 5150, 6243, 4768, 2630, 1637, 78, 43, NA, 94006,  X*
43, 57.6, 9881, 3293, 6672, 2357, 3928, 3172, 879, 3030, 75, 44, NA, 33212,  X*
44, 59.6, 1619, 10327, 1842, 6112, 1784, 4004, 2714, 1911, 74, 56, NA, 30313,  X*
45, 60.6, 20324, 8768, 3343, 2719, 2546, 3507, 1870, 1628, 83, 56, NA, 44705,  X
46, 61.6, 1879, 4634, 1353, 2977, 2114, 4130, 2671, 1477, 90, 43, NA, 21235,  X
47, 63.6, 3576, 2212, 5159, 1769, 2475, 4261, 1671, 1175, 97, 51, NA, 22298,  X
48, 64.6, 4541, 5529, 3804, 2953, 2028, 3594, 2998, 1727, 93, 69, NA, 27174,  X
49, 65.6, 10961, 13833, 6838, 1134, 3310, 4078, 5154, 2379, 83, 67, NA, 47687,  X
50, 66.5, 2456, 13151, 1275, 1659, 5081, 2346, 823, 897, 70, 38, NA, 27688,  X
51, 67.5, 7419, 8078, 1570, 6219, 4024, 4904, 4928, 751, 74, 34, NA, 37893,  X
52, 68.6, 5774, 13427, 3738, 1539, 2370, 3781, 3789, 736, 67, 17, NA, 35154,  X
53, 69.6, 300326, 494268, 90159, 74357, 23182, 12006, 6219, 1852, 44, 14, NA, 1002369,  X
54, 70.6, 10365, 11770, 884, 7484, 8557, 3835, 3916, 1304, 47, 34, NA, 48115,  X
55, 71.5, 39826, 35143, 10697, 7239, 4883, 4562, 3175, 2731, 35, 34, NA, 108256,  X
56, 72.5, 13813, 4016, 608, 5334, 3421, 5018, 2148, 1377, 44, 41, NA, 35735,  X
57, 74.5, 13235, 5561, 1241, 6658, 2865, 5033, 2282, 1462, 74, 54, NA, 38337,  X
58, 75.6, 4677, 10280, 1666, 8583, 11439, 4477, 1909, 1865, 81, 60, NA, 44896,  X
59, 76.5, 18829, 12328, 2719, 3344, 4974, 3980, 2525, 2785, 74, 50, NA, 51484,  X
60, 78.5, 4528, 4876, 9311, 2291, 5503, 2502, 3089, 1194, 64, 57, NA, 33294,  X
61, 79.5, 3652, 2493, 3949, 25086, 6794, 6218, 1258, 1942, 67, 83, NA, 51392,  X
62, 80.5, 7882, 8256, 402, 785, 3564, 3038, 1722, 2534, 69, 70, NA, 28183,  X
63, 82.5, 12153, 14250, 1395, 4349, 2920, 3064, 3459, 1011, 70, 53, NA, 42601,  X
64, 82.5, 10148, 15412, 4308, 2882, 2382, 3340, 3107, 1263, 61, 24, NA, 42842,  X
