obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 1.8, 6731, 7717, 8576, 12744, 7492, 16870, 2864, 4043, 44, 67, NA, 67037,   *
2, 2.8, 12083, 5932, 7006, 9914, 9117, 10111, 7705, 2623, 66, 81, NA, 64491,   *
3, 3.8, 1684, 7989, 2777, 6237, 7190, 11259, 6417, 2574, 64, 80, NA, 46127,   *
4, 4.8, 6375, 9437, 2337, 4241, 8639, 7473, 5840, 1801, 64, 70, NA, 46143,   *
5, 5.8, 3113, 7985, 2666, 1543, 1052, 10493, 11600, 4267, 67, 60, NA, 42719,   *
6, 6.8, 8077, 5973, 966, 6667, 1868, 29843, 7598, 4752, 83, 44, NA, 65744,   *
7, 7.8, 25121, 17911, 1307, 2769, 4511, 6312, 7936, 3395, 77, 34, NA, 69262,   *
8, 9.8, 55675, 11276, 12457, 4990, 7319, 10872, 3496, 3117, 75, 43, NA, 109202,   *
9, 10.8, 46060, 26663, 864, 3504, 7399, 8562, 4070, 4402, 56, 35, NA, 101524,   *
10, 11.8, 7786, 8599, 11073, 1391, 5701, 28586, 7096, 4943, 69, 44, NA, 75175,   *
11, 13.8, 9220, 7719, 8577, 2026, 5955, 14753, 6301, 2221, 78, 40, NA, 56772,   *
12, 14.8, 55485, 37177, 4989, 3580, 3281, 10839, 7224, 4163, 75, 40, NA, 126738,   *
13, 15.8, 5680, 25355, 2247, 3406, 1910, 13260, 8543, 2879, 63, 34, NA, 63280,   *
14, 16.8, 41686, 32233, 2255, 4423, 1728, 23657, 9129, 1751, 60, 17, NA, 116862,   *
15, 17.8, 3152, 1671, 3170, 11675, 3086, 9668, 14217, 3722, 56, 41, NA, 50361,   *
16, 18.8, 5579, 2762, 2900, 2363, 3413, 16540, 13265, 3624, 77, 44, NA, 50446,   *
17, 20.7, 2043, 3255, 5783, 1677, 4748, 12443, 5867, 6528, 87, 54, NA, 42344,   *
18, 21.8, 1692, 4007, 4910, 1987, 1667, 13335, 5875, 2668, 100, 57, NA, 36141,   *
19, 22.8, 2210, 2390, 4842, 1556, 7299, 7216, 10955, 4937, 91, 63, NA, 41405,   *
20, 24.7, 5227, 10584, 2521, 1876, 4745, 7869, 5693, 2787, 84, 54, NA, 41302,   *
21, 25.7, 9504, 30816, 3555, 19245, 2850, 9617, 8209, 3629, 56, 48, NA, 87425,   *
22, 26.8, 14520, 11048, 8005, 7344, 3659, 15933, 6014, 2299, 54, 53, NA, 68822,   *
23, 26.8, 1364, 9719, 2061, 1495, 10903, 15834, 7881, 3545, 61, 44, NA, 52802,   *
