obs;time;Delta;Theta;Alpha1;Alpha2;Beta1;Beta2;Gamma1;Gamma2;Attention;Meditation;Derived;totPwr;class;;;
1;01.05;1294481;570749;109597;95265;218537;253513;277792;18895;NA;NA;NA;2838829;X*;Alpha;Beta;Gamma
2;02.05;58248;8791;9389;26009;10524;10572;16494;4021;29;63;NA;144048;X*;9407,891667;30341,91667;8882,533333
3;04.05;13072;14882;12571;3991;16754;13512;4816;2989;47;48;NA;82587;X*;;;
4;05.05;77548;33981;13800;2811;9504;24052;13502;1653;94;48;NA;176851;X*;;;
5;06.05;21155;6272;4238;19929;3898;22338;6894;4798;100;43;NA;89522;X*;;;
6;08.05;44938;75846;14660;35721;11275;15062;11696;5195;91;44;NA;214393;X*;;;
7;09.05;62697;28207;43170;21422;7744;9366;7829;5838;81;61;NA;186273;X*;;;
8;10.05;50991;102944;21676;18685;11685;20229;16408;7723;57;51;NA;250341;X*;;;
9;11.05;23046;12124;10646;7319;7495;6380;8304;3745;64;54;NA;79059;X*;;;
10;12.05;23029;10945;15056;5892;14752;13329;7960;1643;54;63;NA;92606;X*;;;
11;13.05;13255;33329;1754;11374;12512;12622;7235;2052;67;40;NA;94133;X*;;;
12;14.05;9780;23874;2806;25229;21767;15551;5107;3740;78;47;NA;107854;X*;;;
13;15.04;59159;24348;5517;7607;24213;8144;7281;2198;78;34;NA;138467;X*;;;
14;16.04;230840;160309;42472;41861;11173;8795;7891;8513;48;30;NA;511854;X*;;;
15;17.05;8283;18160;2534;6247;11342;10334;5829;9687;53;34;NA;72416;X*;;;
16;18.05;25097;18835;15497;23249;9915;10360;6097;1753;44;41;NA;110803;X*;;;
17;19.04;122825;9728;1863;5536;3380;1639;1852;1428;35;51;NA;148251;X*;;;
18;20.04;851824;72043;8517;10988;8312;9687;6177;5191;47;43;NA;972739;X*;;;
19;21.04;41537;19066;18392;6153;34527;13575;11887;5347;44;47;NA;150484;X*;;;
20;23.04;47345;5778;9602;2653;4551;2654;1762;2277;43;47;NA;76622;X*;;;
21;24.04.00;55530;17685;8908;4015;6128;5886;13209;3146;64;47;NA;114507;X*;;;
22;25.04.00;6604;27617;7791;6236;14362;8339;6874;1928;60;44;NA;79751;X*;;;
23;27.04.00;25723;28115;4599;13591;6756;7378;4274;2014;60;35;NA;92450;X*;;;
24;28.04.00;18475;4325;19372;18032;7477;9084;6647;2271;48;60;NA;85683;X*;;;
25;29.04.00;13129;70639;1659;2995;9676;10307;5740;3345;43;44;NA;117490;X*;;;
26;31.04.00;29330;8166;14300;18581;16651;14721;16386;1368;53;54;NA;119503;X*;;;
27;32.04.00;72428;47404;11885;2501;18685;13673;8732;3097;70;29;NA;178405;X*;;;
28;33.04.00;45650;48156;8423;25445;8520;9950;5339;1573;69;53;NA;153056;X*;;;
29;35.04.00;470613;72209;7786;13687;16296;15276;8328;3315;60;38;NA;607510;X*;;;
30;36.04.00;14556;8044;11436;8549;10322;10847;3601;5525;57;48;NA;72880;X*;;;
31;37.04.00;23993;17528;10301;7158;15506;11260;6805;2745;69;47;NA;95296;X*;;;
32;38.04.00;31897;37850;11223;6733;7019;11553;3852;3203;74;50;NA;113330;X*;;;
33;39.04.00;44427;111600;9616;14624;20710;14134;3887;2821;63;44;NA;221819;X*;;;
34;40.04.00;6907;36162;10394;6116;5105;10445;6622;2157;56;38;NA;83908;X*;;;
35;41.04.00;8775;15367;9880;13423;6892;15538;5493;8058;60;41;NA;83426;X*;;;
36;42.04.00;18802;15655;13430;8954;7581;12384;4003;4528;66;47;NA;85337;X*;;;
37;43.03.00;31202;23645;15482;18464;5230;5016;8764;3851;63;66;NA;111654;X*;;;
38;44.04.00;12792;10468;36192;21369;13534;10538;4458;5033;60;81;NA;114384;X*;;;
39;46.03.00;48234;9505;10223;7414;12752;27399;18537;7954;67;77;NA;142018;X*;;;
40;47.03.00;5614;19593;2388;10436;5176;11518;6060;1979;88;69;NA;62764;X*;;;
41;48.04.00;27573;25971;12150;12772;4209;13666;10399;3706;94;60;NA;110446;X*;;;
42;50.03.00;8013;11844;15443;2782;17645;11000;14412;5589;81;63;NA;86728;X*;;;
43;51.03.00;24392;10490;7315;14348;17670;12770;10540;3238;84;51;NA;100763;X*;;;
44;52.03.00;24443;17290;14791;11745;2888;25274;6476;6353;93;51;NA;109260;X*;;;
45;54.03.00;37409;32252;22963;32078;5842;14621;11787;4633;84;60;NA;161585;X*;;;
46;55.03.00;28189;63793;15156;13320;11252;17110;5694;2573;69;60;NA;157087;X*;;;
47;56.03.00;4396;15679;3582;10700;7232;6715;3725;1925;57;57;NA;53954;X*;;;
48;57.03.00;32678;37382;27408;28363;17206;12605;4581;2480;54;53;NA;162703;X*;;;
49;58.03.00;98098;20936;4557;22762;6639;13424;5230;8321;56;60;NA;179967;X*;;;
50;59.03.00;10979;44660;7573;34020;7946;4948;6366;4459;41;69;NA;120951;X*;;;
51;60.03.00;9158;8497;4322;27718;14965;12022;9505;3284;44;77;NA;89471;X;;;
52;61.03.00;53838;20437;43352;22536;9292;15444;16979;5753;48;83;NA;187631;X;;;
53;62.03.00;9562;10519;11776;9777;26899;15168;5873;7414;53;80;NA;96988;X;;;
54;63.03.00;8579;8427;16838;2808;7024;8530;12945;1683;75;81;NA;66834;X;;;
55;64.03.00;30792;51626;33590;9191;23478;18010;23273;1885;69;74;NA;191845;X;;;
56;65.03.00;5417;22076;8708;8930;21327;25102;13027;6391;83;54;NA;110978;X;;;
57;66.03.00;132852;109766;24069;8539;26046;34268;39120;11657;77;47;NA;386317;X;;;
58;67.03.00;74355;70235;7536;2472;6654;8631;11909;9352;64;26;NA;191144;X;;;
59;69.02.00;15427;15328;15370;6566;23359;14212;6215;3518;70;24;NA;99995;X;;;
60;70.02.00;17131;27426;10646;12734;5425;22515;7602;10815;70;41;NA;114294;X;;;
61;71.02.00;19082;34278;17162;8682;11639;37786;16669;14891;91;51;NA;160189;X;;;
62;73.03.00;382148;143658;22103;18976;28243;19295;11365;11731;77;44;NA;637519;X;;;
63;74.02.00;32734;27105;12178;20117;22422;23586;4939;2948;61;44;NA;146029;X;;;
64;75.02.00;35613;18661;21380;11308;6932;45353;8800;3631;66;50;NA;151678;X;;;
65;77.02.00;22011;34603;23898;8072;4583;18790;9362;3841;78;57;NA;125160;X;;;
66;78.02.00;24596;32970;8254;1972;10004;17333;6806;1551;87;48;NA;103486;X;;;
67;79.02.00;70326;35112;1056;2418;2390;5903;7595;1131;64;29;NA;125931;X;;;
68;80.02.00;29098;5417;9593;2587;18203;9369;8948;2059;74;24;NA;85274;X;;;
