obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1,2.03,123728,86624,30076,6889,12669,154182,32786,806,48,57,NA,447760,*
2,3.03,431663,48516,12722,3414,10119,37473,22075,2631,53,50,NA,568613,*
3,5.03,11843,35751,2586,3815,6226,43594,3721,973,51,40,NA,108509,*
4,6.03,1399707,43544,26819,10892,21504,19780,24818,8966,38,41,NA,1556030,*
5,7.03,62033,12744,2079,3050,9893,26054,6696,3822,43,38,NA,126371,*
6,9.03,53098,4264,5498,4231,2400,44974,8196,2879,51,47,NA,125540,*
7,10.03,214083,163504,71300,40763,22308,93178,15861,2565,74,37,NA,623562,*
8,11.03,1206072,151254,42959,20321,9693,85258,13316,4505,64,43,NA,1533378,*
9,12.03,1130696,131082,64794,63660,40034,28992,12385,2566,43,53,NA,1474209,*
10,13.02,584650,310500,8232,11501,11811,14402,7758,4183,14,53,NA,953037,*
11,14.03,18032,23712,22746,5757,2367,24585,2293,771,17,56,NA,100263,*
12,16.02,15218,12137,7252,2476,6134,18903,1781,945,23,56,NA,64846,*
13,17.03,348789,49561,9561,3060,5038,30388,10719,3342,41,50,NA,460458,*
14,18.03,188544,185370,23526,11078,6212,19438,7042,1263,30,41,NA,442473,*
15,20.02,108844,15759,2644,1099,2028,3729,5153,1733,21,38,NA,140989,4*
16,21.02,6928,3400,6757,8100,13780,24147,10204,2756,27,63,NA,76072,4*
17,22.02,12551,15143,19453,14523,3486,115388,15674,3413,50,64,NA,199631,4*
18,24.02.00,5132,6843,3289,6541,11251,54826,23195,2313,67,63,NA,113390,4*
19,25.02.00,9506,7512,4271,7353,5786,138374,16357,1522,93,29,NA,190681,4*
20,26.02.00,13318,6971,2056,27629,10204,22908,24739,9947,84,38,NA,117772,4*
21,27.02.00,697216,120982,38884,17387,28841,16004,3866,2064,63,47,NA,925244,4*
22,28.02.00,22765,35624,10840,5029,2718,120977,28201,1917,63,48,NA,228071,4*
23,29.02.00,21693,12655,2980,2880,5913,77457,23646,1140,57,47,NA,148364,4*
24,31.02.00,32209,25789,11361,442,1071,77120,11001,1992,64,29,NA,160985,4*
25,32.02.00,5569,6408,5428,7049,4907,87858,12443,1325,87,30,NA,130987,4*
26,33.02.00,13871,7457,4959,15067,5152,60750,10008,1389,83,44,NA,118653,4*
27,35.02.00,6143,7077,8496,7921,3913,71424,3762,1149,87,50,NA,109885,4*
28,36.02.00,13693,13643,3936,7244,4644,36673,8287,1820,81,48,NA,89940,4*
29,37.02.00,5359,9099,21641,3480,6323,30622,12307,1131,77,53,NA,89962,4*
30,39.02.00,4447,8654,1147,5717,2817,64966,4003,1237,77,47,NA,92988,4*
31,40.02.00,13682,16302,2025,1886,5066,16347,8917,1289,74,43,NA,65514,4*
32,41.02.00,12988,12265,4943,5538,2594,56767,26034,1687,80,30,NA,122816,4*
33,42.01.00,13137,26147,13101,13759,6349,52100,18282,1129,69,41,NA,144004,4*
34,43.01.00,6341,5263,5310,3947,5665,49421,8189,1394,74,40,NA,85530,4*
35,44.02.00,47693,30579,2832,14806,6165,22181,29017,1232,69,50,NA,154505,4*
36,46.01.00,4970,6994,5412,2463,1781,67978,13613,742,75,47,NA,103953,4*
37,47.01.00,12766,28985,16332,10911,3858,77836,20271,1385,75,48,NA,172344,4*
38,48.01.00,15733,32293,22699,5582,7235,61731,11797,804,80,47,NA,157874,4*
39,50.01.00,2672,14171,4332,5965,4557,92402,51507,2144,80,47,NA,177750,4*
40,51.01.00,81416,43553,22849,22858,3758,70780,5691,2310,74,53,NA,253215,4*
41,52.01.00,71594,36183,15703,6460,2781,23646,11469,6282,66,54,NA,174118,4*
42,53.01.00,6013,10648,4497,2799,4798,41410,9683,1491,63,57,NA,81339,4*
43,54.01.00,14599,33848,12285,4841,9572,27071,6646,2780,56,54,NA,111642,4*
44,55.01.00,8294,12757,14457,5002,2734,47434,10521,1940,60,53,NA,103139,4*
45,57.01.00,13533,26189,5039,7748,3782,34897,35474,2204,64,48,NA,128866,4*
46,58.01.00,38290,10001,3753,7240,1994,80817,33885,1540,60,57,NA,177520,4*
47,59.01.00,69633,31699,14899,18639,3499,65529,35662,1682,57,60,NA,241242,4*
48,61.01.00,6316,8387,11460,3277,5581,75473,59546,2348,66,60,NA,172388,4
49,62.01.00,23949,22112,3691,3786,9821,30851,21484,3767,69,48,NA,119461,4
50,63.01.00,198729,88691,25546,14018,5304,22622,3893,1962,57,48,NA,360765,4
51,64.01.00,48452,36795,20548,6594,7027,44359,11922,5671,48,53,NA,181368,4
52,65.01.00,37566,48242,8555,3738,1053,50029,17831,2749,48,47,NA,169763,4
53,66.00.00,21545,10848,3236,3385,4799,95155,13263,2844,56,40,NA,155075,4
54,68.00.00,18640,3272,4736,1719,4210,49855,4389,1720,78,30,NA,88541,4
55,69.00.00,7912,13717,7092,5086,5234,19859,3192,1693,81,37,NA,63785,4
56,70.00.00,27479,46483,6633,2715,8566,161523,2462,1084,78,34,NA,256945,4
57,72.00.00,3623,6483,12293,1709,2391,57098,15820,2419,74,38,NA,101836,4
58,73.00.00,159782,73623,23939,14744,2638,71292,20096,6463,69,41,NA,372577,4
59,74.00.00,307494,8486,5746,14085,17595,32410,20607,6188,64,60,NA,412611,4
60,76.00.00,16565,32912,8783,10200,16277,59949,49035,4928,60,57,NA,198649,4
61,77.00.00,19189,6118,3342,5553,6272,27149,10320,1715,61,54,NA,79658,4
62,78.00.00,10367,18738,32875,12120,4293,52098,3260,913,57,60,NA,134664,4
63,79.00.00,5866,21128,10595,4698,3221,27990,7141,2022,56,64,NA,82661,4
64,80.00.00,12186,48428,14973,20273,6982,85498,20537,1465,61,61,NA,210342,4
65,81.00.00,7874,15101,8347,7270,8074,43563,6789,2733,60,61,NA,99751,4
66,83.00.00,9936,67194,34999,6536,9030,20065,16597,2273,51,60,NA,166630,4
67,84.00.00,9850,13028,2453,3654,4742,18993,6231,2679,63,50,NA,61630,4
68,85.00.00,7514,17274,6683,4771,9082,115554,8218,2020,67,40,NA,171116,4
69,87.00.00,8895,19052,9760,11027,2588,58194,23460,1671,83,37,NA,134647,4
70,88.00.00,22180,12752,5861,6575,8716,74298,15800,1534,84,30,NA,147716,4
71,89.00.00,25523,41878,24173,4648,6657,47045,10143,1408,74,43,NA,161475,4
72,89.09.00,17717,10592,12191,8186,8862,79137,22520,537,77,41,NA,159742,4
73,90.09.00,19720,31741,10687,1248,3089,36947,3974,1125,70,44,NA,108531,4
74,92.00.00,22435,27961,4666,7652,3257,37537,3486,2597,63,48,NA,109591,4
75,93.09.00,20765,34176,10734,7815,2492,121373,5730,1555,70,40,NA,204640,4
76,94.09.00,11676,4530,7529,5463,6333,57200,3576,1742,80,30,NA,98049,4
77,96.00.00,4045,3414,4508,6773,10265,16494,3224,858,81,38,NA,49581,4
78,97.09.00,3427,25275,2330,3454,3326,112695,50819,1841,83,27,NA,203167,4
79,98.09.00,195985,116260,22633,44772,8652,85099,12487,2342,63,38,NA,488230,4
80,99.09.00,25681,1287,10182,4446,8486,19274,11686,2141,63,40,NA,83183,4
81,100.09.00,28064,27285,15540,8301,4089,77043,104435,3483,57,54,NA,268240,4
82,101.09.00,26487,70001,59765,27656,4236,127071,11708,6780,60,66,NA,333704,4
83,102.09.00,1930055,341358,75824,86738,18911,15118,3475,3307,41,67,NA,2474786,4
84,102.09.00,52605,29289,22214,6917,6423,12100,9698,3261,29,70,NA,142507,4
