obs,time,Delta,Theta,Alpha1,Alpha2,Beta1,Beta2,Gamma1,Gamma2,Attention,Meditation,Derived,totPwr,class 
1,1.2,76212,44510,6808,7930,9062,5554,2250,876,51,77, NA,153202,  X*
2,3.2,113817,25862,39251,22316,5318,7640,5364,3679,47,91, NA,223247,  X*
3,4.2,390385,47241,6231,15813,3811,11851,5869,7080,53,90, NA,488281,  X*
4,5.2,274222,46469,12889,6096,3942,7709,6953,1414,56,91, NA,359694,  X*
5,7.1,237356,46745,22942,24630,5932,14274,2658,1146,61,81, NA,355683,  X*
6,8.1,413261,34620,5021,18128,6667,4308,2736,2241,56,88, NA,486982,  X*
7,9.2,213546,95857,3147,7806,12638,5722,2329,1093,48,77, NA,342138,  X*
8,11.1,16779,12557,4228,885,1968,2894,954,475,50,66, NA,40740,  X*
9,12.1,12304,19798,9874,18301,3555,7650,4367,2490,54,75, NA,78339,  X*
10,13.1,323522,34425,7517,4184,4967,12628,4722,2946,69,83, NA,394911,  X*
11,14.1,10405,10956,33076,1919,7935,6852,3011,1220,69,97, NA,75374,  X*
12,15.1,15729,17519,14685,3000,7724,6490,2520,1062,78,84, NA,68729,  X*
13,16.1,204375,47281,32879,24014,3711,10208,4111,5217,74,84, NA,331796,  X*
14,17.1,13362,14950,15887,3727,2702,10771,2339,2388,74,96, NA,66126,  X*
15,18.1,6408,38603,4092,13942,16659,6711,2504,900,70,81, NA,89819,  X*
16,19.1,27851,13319,5607,1934,6042,3157,2237,1015,69,77, NA,61162,  X*
17,20.1,7570,31715,4584,14300,7364,3461,2571,834,66,69, NA,72399,  X*
18,22.1,10230,13124,9188,3197,5620,4065,4523,1713,61,66, NA,51660,  X*
19,23.1,31064,7038,13942,3012,13449,4660,4007,1715,53,69, NA,78887,  X*
20,24.1,140076,62342,9121,11882,5877,5641,4718,5892,53,64, NA,245549,  X*
21,26.1,10252,31866,3144,2128,5448,4330,5434,2961,50,50, NA,65563,  X*
22,27.1,10116,9719,6912,8564,6762,8386,4428,2618,53,53, NA,57505,  X*
