obs,time,Delta,Theta,Alpha1,Alpha2,Beta1,Beta2,Gamma1,Gamma2,Attention,Meditation,Derived,totPwr,class 
1,1.5,54107,55009,4341,12117,3310,1573,2819,1214,37,63, NA,134490,  X*
2,2.5,45995,34580,12429,2884,3429,7730,1742,2061,50,56, NA,110850,  X*
3,3.5,61103,55286,28301,19379,3306,5112,1506,1020,47,61, NA,175013,  X*
4,4.5,163255,6596,12504,12805,11100,6797,2631,1212,47,67, NA,216900,  X*
5,6.5,60465,26710,18804,7829,2137,3963,1308,1155,57,78, NA,122371,  X*
6,7.5,171232,13241,1120,3510,2496,1820,674,417,51,75, NA,194510,  X*
7,8.5,75580,46045,4281,16428,11058,5084,1603,951,41,63, NA,161030,  X*
8,10.5,66449,26102,15456,6129,2999,6689,1025,698,48,60, NA,125547,  X*
9,11.5,388695,140180,77666,30704,69308,64255,10308,5077,57,56, NA,786193,  X*
10,12.5,1679400,95793,61076,12850,9150,15171,4054,643,60,63, NA,1878137,  X*
11,14.4,931656,181997,59808,61797,55998,22831,15687,2679,53,60, NA,1332453,  X*
12,15.4,115294,55559,6974,2766,3149,1736,953,628,37,54, NA,187059,  X*
13,16.5,624925,143332,40124,17373,13482,19462,12947,2575,37,50, NA,874220,  X*
14,18.4,2158089,129781,104903,49853,54581,25565,12228,4829,38,54, NA,2539829,  X*
15,19.4,531819,59146,31125,32519,11817,6188,3519,575,56,64, NA,676708,  X*
16,20.4,153005,55716,14243,9883,12703,6165,6049,1970,54,63, NA,259734,  X*
17,22.4,165325,15420,26287,8502,9766,3900,2452,2850,54,66, NA,234502,  X*
18,23.4,1509991,168262,16937,71424,21176,12145,11674,2453,34,66, NA,1814062,  X*
19,24.4,513596,178257,98920,49901,88682,38798,19829,5764,37,70, NA,993747,  X*
20,25.4,474818,250139,72823,40481,17941,41161,19011,15860,40,60, NA,932234,  X*
21,26.4,175789,28329,2484,3957,2846,1599,1837,1848,44,50, NA,218689,  X*
22,27.4,562204,201056,12772,20191,26998,23189,10067,1555,51,38, NA,858032,  X*
23,28.4,2646509,101589,35476,60674,18150,18684,8227,6293,50,41, NA,2895602,  X*
24,29.4,575230,114070,40817,14368,8471,12246,6075,1702,44,41, NA,772979,  X*
25,30.4,2368314,86998,7667,32434,37017,22908,16127,11928,56,47, NA,2583393,  X*
26,31.4,93284,49434,4230,3060,4228,10433,1548,754,63,44, NA,166971,  X*
27,33.4,892877,160149,9582,15652,32734,9585,4489,1390,57,27, NA,1126458,  X*
28,34.4,257804,108782,5373,7128,5765,9399,4123,2174,53,26, NA,400548,  X*
29,35.4,366416,37948,8384,7471,18451,16557,10570,1456,57,35, NA,467253,  X*
30,37.3,185505,21218,1986,2930,3746,2925,1170,235,64,38, NA,219715,  X*
31,38.4,384149,35840,2981,2971,1327,2006,657,398,57,23, NA,430329,  X*
32,39.4,583701,362938,164475,40804,32039,24754,7474,4211,40,30, NA,1220396,  X*
33,41.3,360622,61660,20845,22044,5003,6377,2167,460,35,43, NA,479178,  X*
34,42.3,105729,15095,4026,6112,5944,1885,2239,293,43,66, NA,141323,  X*
35,43.4,84690,9752,2630,779,1879,3047,1726,479,56,57, NA,104982,  X*
36,44.3,127277,136809,13594,46436,25810,5091,2857,4373,48,53, NA,362247,  X*
37,45.3,227978,50433,1722,2825,8782,5037,2094,401,47,30, NA,299272,  X*
38,46.3,39318,25651,2540,7002,4399,1486,1070,458,41,27, NA,81924,  X*
39,47.3,677283,159702,19641,28754,15271,14314,7343,2151,30,29, NA,924459,  X*
40,48.3,118476,64131,2207,5002,1368,1544,920,430,29,16, NA,194078,  X*
41,49.3,333407,30878,17926,5967,9884,5159,3166,2353,30,37, NA,408740,  X*
42,50.3,81375,118963,17967,2439,3197,6378,1446,1692,30,29, NA,233457,  X*
43,52.3,68496,73267,28327,48047,10454,5333,4488,748,26,43, NA,239160,  X*
44,53.3,101109,46750,20563,10081,9262,6331,1911,1011,30,48, NA,197018,  X*
45,54.3,69048,17653,3438,1795,2800,1292,972,534,34,53, NA,97532,  X*
46,56.3,17728,29240,46053,14783,4420,4463,3014,890,38,57, NA,120591,  X*
47,57.3,183035,46368,22383,7194,1571,7008,2806,1824,41,75, NA,272189,  X*
48,58.3,504920,31405,6890,8765,13267,5713,3729,1075,48,77, NA,575764,  X*
49,60.3,154012,21656,6222,2611,5551,1465,661,480,47,60, NA,192658,  X
50,61.3,313242,30150,24092,20011,19305,9948,2880,1152,41,51, NA,420780,  X
51,62.3,188353,49720,3840,2290,4163,3026,1319,462,35,40, NA,253173,  X
52,64.2,167309,260850,27146,28082,65960,30432,5888,3537,40,34, NA,589204,  X
53,65.3,55210,129424,42800,17601,12403,5006,1300,709,24,16, NA,264453,  X
54,66.3,96279,110409,14577,12509,14702,7054,7370,1814,24,23, NA,264714,  X
55,67.2,184617,65857,14327,7319,3077,3168,1782,625,16,29, NA,280772,  X
56,68.2,32277,79548,50730,2429,10180,11771,4086,1302,27,48, NA,192323,  X
57,69.2,102493,83603,1304,11597,5067,7388,2846,2084,38,37, NA,216382,  X
58,70.2,88046,44483,4823,13611,3494,6218,2689,810,43,43, NA,164174,  X
59,71.2,146041,144350,69109,12172,9840,3770,2319,872,37,50, NA,388473,  X
60,72.2,155512,27601,17857,10142,6639,7361,2068,1530,41,51, NA,228710,  X
61,73.2,178382,21691,24643,18291,9698,5329,2385,1668,41,75, NA,262087,  X
62,75.2,58674,45014,34494,6348,13009,10249,1022,1330,43,80, NA,170140,  X
63,76.2,45781,172371,14938,2717,6610,4598,3289,898,40,53, NA,251202,  X
64,77.2,17670,13471,3969,4189,10761,8316,3773,442,53,38, NA,62591,  X
65,79.2,63895,130116,4437,6058,12448,3774,2514,1527,40,16, NA,224769,  X
66,80.2,87275,24777,5746,3977,1880,965,1975,445,50,24, NA,127040,  X
67,81.2,77129,74246,1053,6981,1914,3487,3123,2223,29,14, NA,170156,  X
68,83.2,154927,48176,22991,24735,6421,4677,4050,2401,37,40, NA,268378,  X
69,84.2,392628,72217,38127,15411,29650,11378,5023,1025,53,48, NA,565459,  X
70,85.2,188952,37896,13014,12096,7449,5847,3656,755,60,64, NA,269665,  X
71,87.2,238459,117894,38941,10678,17201,6206,4505,1962,56,56, NA,435846,  X
72,88.2,847684,63822,27975,3788,23596,7451,5107,1833,38,51, NA,981256,  X
73,89.2,128393,33093,11604,14684,19378,14688,3264,1834,48,48, NA,226938,  X
74,90.2,19633,16472,563,1685,1403,1588,628,417,54,37, NA,42389,  X
75,91.2,65913,29396,12879,7399,10445,5948,2518,1010,61,41, NA,135508,  X
76,92.1,141833,91264,20482,21425,10593,5423,3734,2277,54,43, NA,297031,  X
77,94.1,176635,13692,6487,2950,1088,1510,424,145,43,48, NA,202931,  X
78,95.1,118990,45669,90626,33344,21042,16264,2752,1740,41,70, NA,330427,  X
79,96.1,182192,83295,17145,12530,9267,6637,3395,2368,44,69, NA,316829,  X
80,98.1,87988,46154,20239,9840,4300,3616,2945,1652,43,67, NA,176734,  X
81,99.1,111561,50866,968,738,1242,769,787,1048,17,37, NA,167979,  X
82,100.1,11313,2494,3504,1673,4067,3368,1887,970,37,44, NA,29276,  X
83,102.1,31926,9883,1926,2099,1507,1940,452,243,47,40, NA,49976,  X
84,103.1,33740,17210,8604,16431,3305,2129,3287,982,69,80, NA,85688,  X
85,104.1,1528023,546538,84999,26022,26194,22409,9367,7413,47,67, NA,2250965,  X
86,104.1,299595,97499,10914,18396,7766,9376,3251,5928,40,67, NA,452725,  X
